"Teacher Quality"
3/17/2022

Year,Level,Division,"Poverty Level","Title1 Code","Percent of Inexperienced Teachers","Percent of Out-of-Field Teachers","Percent of Out-of-Field and Inexperienced Teachers"
"2020 - 2021",DIV,"Buena Vista City Public Schools","All Schools","All Schools",11.1,16.7,8.3
"2020 - 2021",DIV,"Buena Vista City Public Schools","All Schools","Non-Title I",9.8,19.5,7.3
"2020 - 2021",DIV,"Buena Vista City Public Schools","All Schools","Title I",12.9,12.9,9.7
"2020 - 2021",DIV,"Buena Vista City Public Schools","High Poverty","All Schools",14.3,21.4,7.1
"2020 - 2021",DIV,"Buena Vista City Public Schools","High Poverty","Non-Title I",14.3,21.4,7.1
"2020 - 2021",DIV,"Campbell County Public Schools","All Schools","All Schools",0,4.4,0
"2020 - 2021",DIV,"Campbell County Public Schools","All Schools","Non-Title I",0,5.4,0
"2020 - 2021",DIV,"Campbell County Public Schools","All Schools","Title I",0,2.4,0
"2020 - 2021",DIV,"Caroline County Public Schools","All Schools","All Schools",4.3,5.6,0
"2020 - 2021",DIV,"Caroline County Public Schools","All Schools","Non-Title I",4.3,8,0
"2020 - 2021",DIV,"Caroline County Public Schools","All Schools","Title I",4.2,0,0
"2020 - 2021",DIV,"Carroll County Public Schools","All Schools","All Schools",0.3,2.9,0
"2020 - 2021",DIV,"Carroll County Public Schools","All Schools","Non-Title I",0.6,2.5,0
"2020 - 2021",DIV,"Carroll County Public Schools","All Schools","Title I",0,3.4,0
"2020 - 2021",DIV,"Charles City County Public Schools","All Schools","All Schools",1.8,3.6,0
"2020 - 2021",DIV,"Charles City County Public Schools","All Schools","Title I",1.8,3.6,0
"2020 - 2021",DIV,"Charlotte County Public Schools","All Schools","All Schools",7.4,3.7,1.5
"2020 - 2021",DIV,"Charlotte County Public Schools","All Schools","Non-Title I",8,5.3,1.3
"2020 - 2021",DIV,"Charlotte County Public Schools","All Schools","Title I",6.6,1.6,1.6
"2020 - 2021",DIV,"Charlottesville City Public Schools","All Schools","All Schools",3.7,2.4,0.2
"2020 - 2021",DIV,"Charlottesville City Public Schools","All Schools","Non-Title I",3.6,3.3,0.4
"2020 - 2021",DIV,"Charlottesville City Public Schools","All Schools","Title I",3.9,1.1,0
"2020 - 2021",DIV,"Charlottesville City Public Schools","High Poverty","All Schools",5.5,0.9,0
"2020 - 2021",DIV,"Charlottesville City Public Schools","High Poverty","Title I",5.5,0.9,0
"2020 - 2021",DIV,"Chesapeake City Public Schools","All Schools","All Schools",3.4,0.3,0
"2020 - 2021",DIV,"Chesapeake City Public Schools","All Schools","Non-Title I",2.7,0.3,0
"2020 - 2021",DIV,"Chesapeake City Public Schools","All Schools","Title I",5.6,0.6,0
"2020 - 2021",DIV,"Chesapeake City Public Schools","High Poverty","All Schools",6.7,0.7,0
"2020 - 2021",DIV,"Chesapeake City Public Schools","High Poverty","Non-Title I",5,0,0
"2020 - 2021",DIV,"Chesapeake City Public Schools","High Poverty","Title I",6.8,0.8,0
"2020 - 2021",DIV,"Chesapeake City Public Schools","Low Poverty","All Schools",2.7,0.3,0.1
"2020 - 2021",DIV,"Chesapeake City Public Schools","Low Poverty","Non-Title I",2.7,0.3,0.1
"2020 - 2021",DIV,"Chesterfield County Public Schools","All Schools","All Schools",16.9,1.8,1
"2020 - 2021",DIV,"Chesterfield County Public Schools","All Schools","Non-Title I",14.7,1.9,1
"2020 - 2021",DIV,"Chesterfield County Public Schools","All Schools","Title I",23,1.3,1
"2020 - 2021",DIV,"Chesterfield County Public Schools","High Poverty","All Schools",21.5,1.8,1.2
"2020 - 2021",DIV,"Chesterfield County Public Schools","High Poverty","Title I",21.5,1.8,1.2
"2020 - 2021",DIV,"Chesterfield County Public Schools","Low Poverty","All Schools",13.3,1.1,0.7
"2020 - 2021",DIV,"Chesterfield County Public Schools","Low Poverty","Non-Title I",13.3,1.1,0.7
"2020 - 2021",DIV,"Clarke County Public Schools","All Schools","All Schools",6.5,7.7,0
"2020 - 2021",DIV,"Clarke County Public Schools","All Schools","Non-Title I",5.8,8.7,0
"2020 - 2021",DIV,"Clarke County Public Schools","All Schools","Title I",7.6,6.1,0
"2020 - 2021",DIV,"Clarke County Public Schools","Low Poverty","All Schools",6.5,7.7,0
"2020 - 2021",DIV,"Clarke County Public Schools","Low Poverty","Non-Title I",5.8,8.7,0
"2020 - 2021",DIV,"Clarke County Public Schools","Low Poverty","Title I",7.6,6.1,0
"2020 - 2021",DIV,"Colonial Beach Public Schools","All Schools","All Schools",18.8,16.7,8.3
"2020 - 2021",DIV,"Colonial Beach Public Schools","All Schools","Non-Title I",10.5,21.1,10.5
"2020 - 2021",DIV,"Colonial Beach Public Schools","All Schools","Title I",24.1,13.8,6.9
"2020 - 2021",DIV,"Colonial Beach Public Schools","High Poverty","All Schools",10.5,21.1,10.5
"2020 - 2021",DIV,"Colonial Beach Public Schools","High Poverty","Non-Title I",10.5,21.1,10.5
"2020 - 2021",DIV,"Colonial Heights City Public Schools","All Schools","All Schools",2.4,1.6,0
"2020 - 2021",DIV,"Colonial Heights City Public Schools","All Schools","Non-Title I",3.6,1.2,0
"2020 - 2021",DIV,"Colonial Heights City Public Schools","All Schools","Title I",1.9,1.9,0
"2020 - 2021",DIV,"Covington City Public Schools","All Schools","All Schools",3.7,0,0
"2020 - 2021",DIV,"Covington City Public Schools","All Schools","Non-Title I",5.9,0,0
"2020 - 2021",DIV,"Covington City Public Schools","All Schools","Title I",0,0,0
"2020 - 2021",DIV,"Craig County Public Schools","All Schools","All Schools",8.8,1.8,0
"2020 - 2021",DIV,"Craig County Public Schools","All Schools","Non-Title I",5.7,0,0
"2020 - 2021",DIV,"Craig County Public Schools","All Schools","Title I",13.6,4.5,0
"2020 - 2021",DIV,"Culpeper County Public Schools","All Schools","All Schools",6.6,3.6,1
"2020 - 2021",DIV,"Culpeper County Public Schools","All Schools","Non-Title I",6.7,4.2,1.1
"2020 - 2021",DIV,"Culpeper County Public Schools","All Schools","Title I",6.1,1.4,0.7
"2020 - 2021",DIV,"Cumberland County Public Schools","All Schools","All Schools",5.1,1.7,0
"2020 - 2021",DIV,"Cumberland County Public Schools","All Schools","Non-Title I",4,2.7,0
"2020 - 2021",DIV,"Cumberland County Public Schools","All Schools","Title I",7.1,0,0
"2020 - 2021",DIV,"Cumberland County Public Schools","High Poverty","All Schools",5.1,1.7,0
"2020 - 2021",DIV,"Cumberland County Public Schools","High Poverty","Non-Title I",4,2.7,0
"2020 - 2021",DIV,"Cumberland County Public Schools","High Poverty","Title I",7.1,0,0
"2020 - 2021",DIV,"Danville City Public Schools","All Schools","All Schools",5.6,3.8,0.6
"2020 - 2021",DIV,"Danville City Public Schools","All Schools","Non-Title I",3.4,4.9,0.4
"2020 - 2021",DIV,"Danville City Public Schools","All Schools","Title I",8.5,2.4,0.9
"2020 - 2021",DIV,"Danville City Public Schools","High Poverty","All Schools",5.7,3.8,0.6
"2020 - 2021",DIV,"Danville City Public Schools","High Poverty","Non-Title I",3.5,5,0.4
"2020 - 2021",DIV,"Danville City Public Schools","High Poverty","Title I",8.5,2.4,0.9
"2020 - 2021",DIV,"Department of Juvenile Justice","All Schools","All Schools",0,11.1,0
"2020 - 2021",DIV,"Department of Juvenile Justice","All Schools","Non-Title I",0,11.1,0
"2020 - 2021",DIV,"Dickenson County Public Schools","All Schools","All Schools",3.6,0,0
"2020 - 2021",DIV,"Dickenson County Public Schools","All Schools","Non-Title I",4,0,0
"2020 - 2021",DIV,"Dickenson County Public Schools","All Schools","Title I",3.3,0,0
"2020 - 2021",DIV,"Dickenson County Public Schools","High Poverty","All Schools",3.6,0,0
"2020 - 2021",DIV,"Dickenson County Public Schools","High Poverty","Non-Title I",4,0,0
"2020 - 2021",DIV,"Dickenson County Public Schools","High Poverty","Title I",3.3,0,0
"2020 - 2021",DIV,"Dinwiddie County Public Schools","All Schools","All Schools",3.8,1.2,0.3
"2020 - 2021",DIV,"Dinwiddie County Public Schools","All Schools","Non-Title I",4.5,1.5,0
"2020 - 2021",DIV,"Dinwiddie County Public Schools","All Schools","Title I",2.8,0.7,0.7
"2020 - 2021",DIV,"Essex County Public Schools","All Schools","All Schools",8.3,5.8,0.8
"2020 - 2021",DIV,"Essex County Public Schools","All Schools","Non-Title I",8,4,0
"2020 - 2021",DIV,"Essex County Public Schools","All Schools","Title I",8.6,7.1,1.4
"2020 - 2021",DIV,"Essex County Public Schools","High Poverty","All Schools",8.6,7.1,1.4
"2020 - 2021",DIV,"Essex County Public Schools","High Poverty","Title I",8.6,7.1,1.4
"2020 - 2021",DIV,"Fairfax County Public Schools","All Schools","All Schools",3.8,3.2,0.2
"2020 - 2021",DIV,"Fairfax County Public Schools","All Schools","Non-Title I",3.3,3.4,0.2
"2020 - 2021",DIV,"Fairfax County Public Schools","All Schools","Title I",5.7,1.8,0.2
"2020 - 2021",DIV,"Fairfax County Public Schools","High Poverty","All Schools",5.9,2.8,0.1
"2020 - 2021",DIV,"Fairfax County Public Schools","High Poverty","Non-Title I",5,10.4,0
"2020 - 2021",DIV,"Fairfax County Public Schools","High Poverty","Title I",6,1.7,0.1
"2020 - 2021",DIV,"Fairfax County Public Schools","Low Poverty","All Schools",3.3,2.8,0.2
"2020 - 2021",DIV,"Fairfax County Public Schools","Low Poverty","Non-Title I",3.3,2.8,0.2
"2020 - 2021",DIV,"Falls Church City Public Schools","All Schools","All Schools",1,2,0
"2020 - 2021",DIV,"Falls Church City Public Schools","All Schools","Non-Title I",1.2,2.4,0
"2020 - 2021",DIV,"Falls Church City Public Schools","All Schools","Title I",0,0,0
"2020 - 2021",DIV,"Falls Church City Public Schools","Low Poverty","All Schools",0,0,0
"2020 - 2021",DIV,"Falls Church City Public Schools","Low Poverty","Non-Title I",0,0,0
"2020 - 2021",DIV,"Falls Church City Public Schools","Low Poverty","Title I",0,0,0
"2020 - 2021",DIV,"Fauquier County Public Schools","All Schools","All Schools",0,10.3,0
"2020 - 2021",DIV,"Fauquier County Public Schools","All Schools","Non-Title I",0,11.5,0
"2020 - 2021",DIV,"Fauquier County Public Schools","All Schools","Title I",0,3.5,0
"2020 - 2021",DIV,"Fauquier County Public Schools","High Poverty","All Schools",0,72.7,0
"2020 - 2021",DIV,"Fauquier County Public Schools","High Poverty","Non-Title I",0,72.7,0
"2020 - 2021",DIV,"Fauquier County Public Schools","Low Poverty","All Schools",0,10.7,0
"2020 - 2021",DIV,"Fauquier County Public Schools","Low Poverty","Non-Title I",0,10.7,0
"2020 - 2021",DIV,"Floyd County Public Schools","All Schools","All Schools",2.3,8.5,0.6
"2020 - 2021",DIV,"Floyd County Public Schools","All Schools","Non-Title I",3.1,9.4,1.6
"2020 - 2021",DIV,"Floyd County Public Schools","All Schools","Title I",1.8,8,0
"2020 - 2021",DIV,"Fluvanna County Public Schools","All Schools","All Schools",1.7,0.3,0.3
"2020 - 2021",DIV,"Fluvanna County Public Schools","All Schools","Non-Title I",2.7,0.5,0.5
"2020 - 2021",DIV,"Fluvanna County Public Schools","All Schools","Title I",0,0,0
"2020 - 2021",DIV,"Franklin City Public Schools","All Schools","All Schools",10.8,16.7,4.9
"2020 - 2021",DIV,"Franklin City Public Schools","All Schools","Non-Title I",3.6,17.9,0
"2020 - 2021",DIV,"Franklin City Public Schools","All Schools","Title I",13.5,16.2,6.8
"2020 - 2021",DIV,"Franklin City Public Schools","High Poverty","All Schools",10.8,16.7,4.9
"2020 - 2021",DIV,"Franklin City Public Schools","High Poverty","Non-Title I",3.6,17.9,0
"2020 - 2021",DIV,"Franklin City Public Schools","High Poverty","Title I",13.5,16.2,6.8
"2020 - 2021",DIV,"Franklin County Public Schools","All Schools","All Schools",2.6,1.7,0
"2020 - 2021",DIV,"Franklin County Public Schools","All Schools","Non-Title I",2.6,2.6,0
"2020 - 2021",DIV,"Franklin County Public Schools","All Schools","Title I",2.7,0,0
"2020 - 2021",DIV,"Franklin County Public Schools","High Poverty","All Schools",3.2,0,0
"2020 - 2021",DIV,"Franklin County Public Schools","High Poverty","Title I",3.2,0,0
"2020 - 2021",DIV,"Frederick County Public Schools","All Schools","All Schools",3.2,1.5,0.2
"2020 - 2021",DIV,"Frederick County Public Schools","All Schools","Non-Title I",2.2,1.8,0.2
"2020 - 2021",DIV,"Frederick County Public Schools","All Schools","Title I",5.5,0.9,0.2
"2020 - 2021",DIV,"Frederick County Public Schools","High Poverty","All Schools",0,5.6,0
"2020 - 2021",DIV,"Frederick County Public Schools","High Poverty","Non-Title I",0,5.6,0
"2020 - 2021",DIV,"Frederick County Public Schools","Low Poverty","All Schools",2.1,1.3,0.2
"2020 - 2021",DIV,"Frederick County Public Schools","Low Poverty","Non-Title I",2.1,1.3,0.2
"2020 - 2021",DIV,"Fredericksburg City Public Schools","All Schools","All Schools",7.8,1,0.3
"2020 - 2021",DIV,"Fredericksburg City Public Schools","All Schools","Non-Title I",6.6,1.1,0
"2020 - 2021",DIV,"Fredericksburg City Public Schools","All Schools","Title I",8.4,1,0.5
"2020 - 2021",DIV,"Fredericksburg City Public Schools","High Poverty","All Schools",8.4,0.9,0.5
"2020 - 2021",DIV,"Fredericksburg City Public Schools","High Poverty","Non-Title I",7.7,0,0
"2020 - 2021",DIV,"Fredericksburg City Public Schools","High Poverty","Title I",8.4,1,0.5
"2020 - 2021",DIV,"Galax City Public Schools","All Schools","All Schools",10.3,2.6,0.9
"2020 - 2021",DIV,"Galax City Public Schools","All Schools","Non-Title I",12.1,3,1.5
"2020 - 2021",DIV,"Galax City Public Schools","All Schools","Title I",7.8,2,0
"2020 - 2021",DIV,"Giles County Public Schools","All Schools","All Schools",5,1.4,0
"2020 - 2021",DIV,"Giles County Public Schools","All Schools","Non-Title I",2.2,3.4,0
"2020 - 2021",DIV,"Giles County Public Schools","All Schools","Title I",7,0,0
"2020 - 2021",DIV,"Gloucester County Public Schools","All Schools","All Schools",3.1,0,0
"2020 - 2021",DIV,"Gloucester County Public Schools","All Schools","Non-Title I",1.8,0,0
"2020 - 2021",DIV,"Gloucester County Public Schools","All Schools","Title I",4.6,0,0
"2020 - 2021",DIV,"Goochland County Public Schools","All Schools","All Schools",5.5,2.8,0.8
"2020 - 2021",DIV,"Goochland County Public Schools","All Schools","Non-Title I",6,3.2,0.9
"2020 - 2021",DIV,"Goochland County Public Schools","All Schools","Title I",2.8,0,0
"2020 - 2021",DIV,"Goochland County Public Schools","Low Poverty","All Schools",6,3.2,0.9
"2020 - 2021",DIV,"Goochland County Public Schools","Low Poverty","Non-Title I",6,3.2,0.9
"2020 - 2021",DIV,"Grayson County Public Schools","All Schools","All Schools",5.7,3.4,1.1
"2020 - 2021",DIV,"Grayson County Public Schools","All Schools","Non-Title I",6.9,3.4,0
"2020 - 2021",DIV,"Grayson County Public Schools","All Schools","Title I",4.6,3.4,2.3
"2020 - 2021",DIV,"Grayson County Public Schools","High Poverty","All Schools",0,3.6,0
"2020 - 2021",DIV,"Grayson County Public Schools","High Poverty","Title I",0,3.6,0
"2020 - 2021",DIV,"Greene County Public Schools","All Schools","All Schools",3.6,4.5,0
"2020 - 2021",DIV,"Greene County Public Schools","All Schools","Non-Title I",3.9,6.5,0
"2020 - 2021",DIV,"Greene County Public Schools","All Schools","Title I",3,0,0
"2020 - 2021",DIV,"Greensville County Public Schools","All Schools","All Schools",6.1,7.7,0.5
"2020 - 2021",DIV,"Greensville County Public Schools","All Schools","Non-Title I",7.8,10.8,0
"2020 - 2021",DIV,"Greensville County Public Schools","All Schools","Title I",4.3,4.3,1.1
"2020 - 2021",DIV,"Greensville County Public Schools","High Poverty","All Schools",6.1,7.7,0.5
"2020 - 2021",DIV,"Greensville County Public Schools","High Poverty","Non-Title I",7.8,10.8,0
"2020 - 2021",DIV,"Greensville County Public Schools","High Poverty","Title I",4.3,4.3,1.1
"2020 - 2021",DIV,"Halifax County Public Schools","All Schools","All Schools",5,8.7,2.7
"2020 - 2021",DIV,"Halifax County Public Schools","All Schools","Non-Title I",6.4,12,3.4
"2020 - 2021",DIV,"Halifax County Public Schools","All Schools","Title I",3.4,4.9,2
"2020 - 2021",DIV,"Halifax County Public Schools","High Poverty","All Schools",5,8.7,2.7
"2020 - 2021",DIV,"Halifax County Public Schools","High Poverty","Non-Title I",6.4,12,3.4
"2020 - 2021",DIV,"Halifax County Public Schools","High Poverty","Title I",3.4,4.9,2
"2020 - 2021",DIV,"Hampton City Public Schools","All Schools","All Schools",9.8,0.7,0.4
"2020 - 2021",DIV,"Hampton City Public Schools","All Schools","Non-Title I",8.7,0.5,0.2
"2020 - 2021",DIV,"Hampton City Public Schools","All Schools","Title I",11.6,1.1,0.7
"2020 - 2021",DIV,"Hampton City Public Schools","High Poverty","All Schools",12.3,1,0.6
"2020 - 2021",DIV,"Hampton City Public Schools","High Poverty","Non-Title I",6.3,0,0
"2020 - 2021",DIV,"Hampton City Public Schools","High Poverty","Title I",12.5,1,0.6
"2020 - 2021",DIV,"Hampton City Public Schools","Low Poverty","All Schools",0,0,0
"2020 - 2021",DIV,"Hampton City Public Schools","Low Poverty","Non-Title I",0,0,0
"2020 - 2021",DIV,"Hanover County Public Schools","All Schools","All Schools",2.6,1.4,0.2
"2020 - 2021",DIV,"Hanover County Public Schools","All Schools","Non-Title I",2.6,1.5,0.2
"2020 - 2021",DIV,"Hanover County Public Schools","All Schools","Title I",2.4,0,0
"2020 - 2021",DIV,"Hanover County Public Schools","Low Poverty","All Schools",2.1,1.7,0.3
"2020 - 2021",DIV,"Hanover County Public Schools","Low Poverty","Non-Title I",2.1,1.7,0.3
"2020 - 2021",DIV,"Harrisonburg City Public Schools","All Schools","All Schools",1.3,2.2,0.2
"2020 - 2021",DIV,"Harrisonburg City Public Schools","All Schools","Non-Title I",1.4,4,0.4
"2020 - 2021",DIV,"Harrisonburg City Public Schools","All Schools","Title I",1.2,0.4,0
"2020 - 2021",DIV,"Harrisonburg City Public Schools","High Poverty","All Schools",1.7,2.7,0.2
"2020 - 2021",DIV,"Harrisonburg City Public Schools","High Poverty","Non-Title I",1.5,4.1,0.4
"2020 - 2021",DIV,"Harrisonburg City Public Schools","High Poverty","Title I",2.2,0,0
"2020 - 2021",DIV,"Henrico County Public Schools","All Schools","All Schools",3.6,0.5,0.1
"2020 - 2021",DIV,"Henrico County Public Schools","All Schools","Non-Title I",3.6,0.5,0
"2020 - 2021",DIV,"Henrico County Public Schools","All Schools","Title I",3.8,0.3,0.1
"2020 - 2021",DIV,"Henrico County Public Schools","High Poverty","All Schools",4.7,0.1,0
"2020 - 2021",DIV,"Henrico County Public Schools","High Poverty","Non-Title I",5.3,0,0
"2020 - 2021",DIV,"Henrico County Public Schools","High Poverty","Title I",4.3,0.2,0
"2020 - 2021",DIV,"Henrico County Public Schools","Low Poverty","All Schools",2.8,0.5,0.1
"2020 - 2021",DIV,"Henrico County Public Schools","Low Poverty","Non-Title I",2.8,0.5,0.1
"2020 - 2021",DIV,"Henry County Public Schools","All Schools","All Schools",7.8,1.9,0
"2020 - 2021",DIV,"Henry County Public Schools","All Schools","Non-Title I",10.1,3.5,0
"2020 - 2021",DIV,"Henry County Public Schools","All Schools","Title I",5.1,0,0
"2020 - 2021",DIV,"Henry County Public Schools","High Poverty","All Schools",7.8,1.9,0
"2020 - 2021",DIV,"Henry County Public Schools","High Poverty","Non-Title I",10.1,3.5,0
"2020 - 2021",DIV,"Henry County Public Schools","High Poverty","Title I",5.1,0,0
