"Standards of Accreditation (SOA) Offenses Data"
3/17/2022

Year,Level,Division,Type,Count
"2020 - 2021",DIV,"Alleghany County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Alleghany County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Amelia County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",14
"2020 - 2021",DIV,"Amelia County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Amelia County Public Schools","Disorderly or Disruptive Behavior Offenses",32
"2020 - 2021",DIV,"Amelia County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Amelia County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Amelia County Public Schools","Other Offenses Against Persons",15
"2020 - 2021",DIV,"Amelia County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Amelia County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Amelia County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Amherst County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Amherst County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Amherst County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Amherst County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Amherst County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Appomattox County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Appomattox County Public Schools","Disorderly or Disruptive Behavior Offenses",12
"2020 - 2021",DIV,"Appomattox County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Appomattox County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Appomattox County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Appomattox County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Arlington County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Arlington County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Arlington County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Augusta County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",65
"2020 - 2021",DIV,"Augusta County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Augusta County Public Schools","Disorderly or Disruptive Behavior Offenses",92
"2020 - 2021",DIV,"Augusta County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Augusta County Public Schools","Other Offenses Against Persons",38
"2020 - 2021",DIV,"Augusta County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Augusta County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Bath County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Bath County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Bath County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Bath County Public Schools","Other Offenses Against Persons",10
"2020 - 2021",DIV,"Bath County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Bath County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Bedford County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",49
"2020 - 2021",DIV,"Bedford County Public Schools","All Other Offenses",13
"2020 - 2021",DIV,"Bedford County Public Schools","Disorderly or Disruptive Behavior Offenses",103
"2020 - 2021",DIV,"Bedford County Public Schools","Offenses Against Staff",16
"2020 - 2021",DIV,"Bedford County Public Schools","Offenses Against Student",49
"2020 - 2021",DIV,"Bedford County Public Schools","Other Offenses Against Persons",21
"2020 - 2021",DIV,"Bedford County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Bedford County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Bedford County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Bland County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Bland County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Bland County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Botetourt County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",36
"2020 - 2021",DIV,"Botetourt County Public Schools","Disorderly or Disruptive Behavior Offenses",30
"2020 - 2021",DIV,"Botetourt County Public Schools","Offenses Against Student",17
"2020 - 2021",DIV,"Botetourt County Public Schools","Other Offenses Against Persons",22
"2020 - 2021",DIV,"Botetourt County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Botetourt County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Bristol City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",15
"2020 - 2021",DIV,"Bristol City Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Bristol City Public Schools","Disorderly or Disruptive Behavior Offenses",25
"2020 - 2021",DIV,"Bristol City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Bristol City Public Schools","Other Offenses Against Persons",17
"2020 - 2021",DIV,"Bristol City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Buchanan County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Buchanan County Public Schools","Disorderly or Disruptive Behavior Offenses",14
"2020 - 2021",DIV,"Buchanan County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Buchanan County Public Schools","Other Offenses Against Persons",10
"2020 - 2021",DIV,"Buchanan County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Buckingham County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Buckingham County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Buckingham County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Buckingham County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Buena Vista City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",10
"2020 - 2021",DIV,"Buena Vista City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Buena Vista City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Buena Vista City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Buena Vista City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Campbell County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",15
"2020 - 2021",DIV,"Campbell County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Campbell County Public Schools","Disorderly or Disruptive Behavior Offenses",61
"2020 - 2021",DIV,"Campbell County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Campbell County Public Schools","Offenses Against Student",12
"2020 - 2021",DIV,"Campbell County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Campbell County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Campbell County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Campbell County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Caroline County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",11
"2020 - 2021",DIV,"Caroline County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Caroline County Public Schools","Disorderly or Disruptive Behavior Offenses",17
"2020 - 2021",DIV,"Caroline County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Caroline County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Caroline County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Caroline County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Caroline County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Carroll County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",45
"2020 - 2021",DIV,"Carroll County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Carroll County Public Schools","Disorderly or Disruptive Behavior Offenses",49
"2020 - 2021",DIV,"Carroll County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Carroll County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Carroll County Public Schools","Other Offenses Against Persons",18
"2020 - 2021",DIV,"Carroll County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Carroll County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Charles City County Public Schools","Disorderly or Disruptive Behavior Offenses",10
"2020 - 2021",DIV,"Charles City County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Charles City County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Charles City County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Charlotte County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Charlotte County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Charlotte County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Charlotte County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Charlotte County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Charlottesville City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Charlottesville City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Charlottesville City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Chesapeake City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",44
"2020 - 2021",DIV,"Chesapeake City Public Schools","All Other Offenses",15
"2020 - 2021",DIV,"Chesapeake City Public Schools","Disorderly or Disruptive Behavior Offenses",331
"2020 - 2021",DIV,"Chesapeake City Public Schools","Offenses Against Staff",29
"2020 - 2021",DIV,"Chesapeake City Public Schools","Offenses Against Student",44
"2020 - 2021",DIV,"Chesapeake City Public Schools","Other Offenses Against Persons",151
"2020 - 2021",DIV,"Chesapeake City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Chesapeake City Public Schools","Technology Offenses",14
"2020 - 2021",DIV,"Chesapeake City Public Schools","Weapons Offenses",24
"2020 - 2021",DIV,"Chesterfield County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",57
"2020 - 2021",DIV,"Chesterfield County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Chesterfield County Public Schools","Disorderly or Disruptive Behavior Offenses",111
"2020 - 2021",DIV,"Chesterfield County Public Schools","Offenses Against Staff",12
"2020 - 2021",DIV,"Chesterfield County Public Schools","Offenses Against Student",34
"2020 - 2021",DIV,"Chesterfield County Public Schools","Other Offenses Against Persons",159
"2020 - 2021",DIV,"Chesterfield County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Chesterfield County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Chesterfield County Public Schools","Weapons Offenses",18
"2020 - 2021",DIV,"Clarke County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Clarke County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Clarke County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Clarke County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Colonial Beach Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Colonial Beach Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Colonial Beach Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Colonial Heights City Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Disorderly or Disruptive Behavior Offenses",73
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Other Offenses Against Persons",12
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Colonial Heights City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Covington City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Covington City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Covington City Public Schools","Other Offenses Against Persons",11
"2020 - 2021",DIV,"Covington City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Craig County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Craig County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Craig County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Craig County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Craig County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Craig County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Culpeper County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",55
"2020 - 2021",DIV,"Culpeper County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Culpeper County Public Schools","Disorderly or Disruptive Behavior Offenses",32
"2020 - 2021",DIV,"Culpeper County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Culpeper County Public Schools","Offenses Against Student",34
"2020 - 2021",DIV,"Culpeper County Public Schools","Other Offenses Against Persons",15
"2020 - 2021",DIV,"Culpeper County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Culpeper County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Culpeper County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Cumberland County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Cumberland County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Cumberland County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Cumberland County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Danville City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Danville City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Danville City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Danville City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Danville City Public Schools","Other Offenses Against Persons",11
"2020 - 2021",DIV,"Danville City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Danville City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Danville City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Dickenson County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",17
"2020 - 2021",DIV,"Dickenson County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Dickenson County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Dickenson County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Dickenson County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",17
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Disorderly or Disruptive Behavior Offenses",16
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Other Offenses Against Persons",18
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Dinwiddie County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Essex County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Essex County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Essex County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Essex County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Essex County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Essex County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Fairfax County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",93
"2020 - 2021",DIV,"Fairfax County Public Schools","All Other Offenses",41
"2020 - 2021",DIV,"Fairfax County Public Schools","Disorderly or Disruptive Behavior Offenses",202
"2020 - 2021",DIV,"Fairfax County Public Schools","Offenses Against Staff",61
"2020 - 2021",DIV,"Fairfax County Public Schools","Offenses Against Student",33
"2020 - 2021",DIV,"Fairfax County Public Schools","Other Offenses Against Persons",255
"2020 - 2021",DIV,"Fairfax County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Fairfax County Public Schools","Technology Offenses",19
"2020 - 2021",DIV,"Fairfax County Public Schools","Weapons Offenses",20
"2020 - 2021",DIV,"Fauquier County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Fauquier County Public Schools","Disorderly or Disruptive Behavior Offenses",12
"2020 - 2021",DIV,"Fauquier County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Fauquier County Public Schools","Other Offenses Against Persons",13
"2020 - 2021",DIV,"Floyd County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",26
"2020 - 2021",DIV,"Floyd County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Floyd County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Floyd County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Floyd County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Fluvanna County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Fluvanna County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Fluvanna County Public Schools","Disorderly or Disruptive Behavior Offenses",15
"2020 - 2021",DIV,"Fluvanna County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Fluvanna County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Fluvanna County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Fluvanna County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Franklin City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Franklin City Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Franklin City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Franklin City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Franklin City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Franklin City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Franklin City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Franklin City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Franklin County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",131
"2020 - 2021",DIV,"Franklin County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Franklin County Public Schools","Disorderly or Disruptive Behavior Offenses",140
"2020 - 2021",DIV,"Franklin County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Franklin County Public Schools","Offenses Against Student",18
"2020 - 2021",DIV,"Franklin County Public Schools","Other Offenses Against Persons",42
"2020 - 2021",DIV,"Franklin County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Franklin County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Franklin County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Frederick County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",42
"2020 - 2021",DIV,"Frederick County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Frederick County Public Schools","Disorderly or Disruptive Behavior Offenses",57
"2020 - 2021",DIV,"Frederick County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Frederick County Public Schools","Offenses Against Student",24
"2020 - 2021",DIV,"Frederick County Public Schools","Other Offenses Against Persons",38
"2020 - 2021",DIV,"Frederick County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Frederick County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Frederick County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Fredericksburg City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Fredericksburg City Public Schools","Disorderly or Disruptive Behavior Offenses",19
"2020 - 2021",DIV,"Fredericksburg City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Fredericksburg City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Galax City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",10
"2020 - 2021",DIV,"Galax City Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Galax City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Galax City Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Giles County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",28
"2020 - 2021",DIV,"Giles County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Giles County Public Schools","Disorderly or Disruptive Behavior Offenses",36
"2020 - 2021",DIV,"Giles County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Giles County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Giles County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Giles County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Giles County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Giles County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Gloucester County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",78
"2020 - 2021",DIV,"Gloucester County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Gloucester County Public Schools","Disorderly or Disruptive Behavior Offenses",26
"2020 - 2021",DIV,"Gloucester County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Gloucester County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Gloucester County Public Schools","Other Offenses Against Persons",15
"2020 - 2021",DIV,"Gloucester County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Gloucester County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Goochland County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Goochland County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Goochland County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Goochland County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Goochland County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Grayson County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",18
"2020 - 2021",DIV,"Grayson County Public Schools","Disorderly or Disruptive Behavior Offenses",10
"2020 - 2021",DIV,"Grayson County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Grayson County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Grayson County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Grayson County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Greene County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Greene County Public Schools","Disorderly or Disruptive Behavior Offenses",29
"2020 - 2021",DIV,"Greene County Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Greene County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Greene County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Greensville County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Halifax County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Halifax County Public Schools","Disorderly or Disruptive Behavior Offenses",<
"2020 - 2021",DIV,"Halifax County Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Halifax County Public Schools","Other Offenses Against Persons",<
"2020 - 2021",DIV,"Halifax County Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Hampton City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",13
"2020 - 2021",DIV,"Hampton City Public Schools","Disorderly or Disruptive Behavior Offenses",18
"2020 - 2021",DIV,"Hampton City Public Schools","Offenses Against Staff",<
"2020 - 2021",DIV,"Hampton City Public Schools","Offenses Against Student",<
"2020 - 2021",DIV,"Hampton City Public Schools","Other Offenses Against Persons",18
"2020 - 2021",DIV,"Hampton City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Hampton City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Hampton City Public Schools","Weapons Offenses",<
"2020 - 2021",DIV,"Hanover County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",97
"2020 - 2021",DIV,"Hanover County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Hanover County Public Schools","Disorderly or Disruptive Behavior Offenses",268
"2020 - 2021",DIV,"Hanover County Public Schools","Offenses Against Staff",20
"2020 - 2021",DIV,"Hanover County Public Schools","Offenses Against Student",43
"2020 - 2021",DIV,"Hanover County Public Schools","Other Offenses Against Persons",80
"2020 - 2021",DIV,"Hanover County Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Hanover County Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Hanover County Public Schools","Weapons Offenses",19
"2020 - 2021",DIV,"Harrisonburg City Public Schools","Alcohol, Tobacco, and Other Drug Offenses",<
"2020 - 2021",DIV,"Harrisonburg City Public Schools","Disorderly or Disruptive Behavior Offenses",12
"2020 - 2021",DIV,"Harrisonburg City Public Schools","Other Offenses Against Persons",10
"2020 - 2021",DIV,"Harrisonburg City Public Schools","Property Offenses ",<
"2020 - 2021",DIV,"Harrisonburg City Public Schools","Technology Offenses",<
"2020 - 2021",DIV,"Henrico County Public Schools","Alcohol, Tobacco, and Other Drug Offenses",30
"2020 - 2021",DIV,"Henrico County Public Schools","All Other Offenses",<
"2020 - 2021",DIV,"Henrico County Public Schools","Disorderly or Disruptive Behavior Offenses",43
"2020 - 2021",DIV,"Henrico County Public Schools","Offenses Against Staff",<
