Agency Name,State Name [District] Latest available year,State Name [District] 2018-19,County Number [District] 2018-19,County Name [District] 2018-19,Total Number Operational Schools [Public School] 2018-19,Total Number Operational Charter Schools [Public School] 2018-19,Agency Type [District] 2018-19,School District Level Code (SCHLEV) [District Finance] 2018-19,Locale [District] 2018-19,Prekindergarten offered [District] 2018-19,Kindergarten offered [District] 2018-19,Agency Level (SY 2017-18 onward) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2018-19,Individualized Education Program Students [District] 2018-19,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2018-19,Full-Time Equivalent (FTE) Teachers [District] 2018-19,Pupil/Teacher Ratio [District] 2018-19,Total Current Expenditures - Instruction (TCURINST) per Pupil (V33) [District Finance] 2018-19,Total Current Expenditures - Support Services (TCURSSVC) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Long Term Debt - Outstanding Beginning of FY (_19H) [District Finance] 2018-19,Short Term Debt - Outstanding Beginning of FY (_61V) [District Finance] 2018-19
CHESAPEAKE CITY PBLC SCHS,Virginia,VIRGINIA,51550,Chesapeake city,48,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,40879,7071,735,2704.78,15.11,7494,4007,12956,147864000,0
CHESTERFIELD CO PBLC SCHS,Virginia,VIRGINIA,51041,Chesterfield County,68,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,61552,7882,3643,3932.99,15.65,6390,3381,11850,302531000,0
CLARKE CO PBLC SCHS,Virginia,VIRGINIA,51043,Clarke County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,31-Town: Fringe,1-Yes,1-Yes,Other,1966,236,59,138.84,14.16,7175,4356,13209,23831000,0
COLONIAL BEACH PBLC SCHS,Virginia,VIRGINIA,51193,Colonial Beach,2,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,671,109,7,37.81,17.75,6528,4256,11957,0,0
COLONIAL HEIGHTS CITY PBLC SCHS,Virginia,VIRGINIA,51570,Colonial Heights city,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,2866,486,86,222.88,12.86,8146,4433,14552,0,0
COVINGTON CITY PBLC SCHS,Virginia,VIRGINIA,51580,Covington city,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,1070,204,3,69.20,15.46,6531,3373,10958,0,0
CRAIG CO PBLC SCHS,Virginia,VIRGINIA,51045,Craig County,2,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,602,155,–,42.83,14.06,6631,4523,12224,0,0
CULPEPER CO PBLC SCHS,Virginia,VIRGINIA,51047,Culpeper County,11,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,8235,939,715,556.92,14.79,6860,3392,11676,64659000,0
CUMBERLAND CO PBLC SCHS,Virginia,VIRGINIA,51049,Cumberland County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,1366,160,22,94.66,14.43,7157,4058,12322,0,0
DANVILLE CITY PBLC SCHS,Virginia,VIRGINIA,51590,Danville city,14,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,5686,818,224,419.50,13.55,7489,5046,14290,16315000,0
DICKENSON CO PBLC SCHS,Virginia,VIRGINIA,51051,Dickenson County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,2054,360,4,139.83,14.69,6392,4761,12283,0,0
DINWIDDIE CO PBLC SCHS,Virginia,VIRGINIA,51053,Dinwiddie County,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,4379,660,64,266.80,16.41,6283,4463,11902,34781000,0
ESSEX CO PBLC SCHS,Virginia,VIRGINIA,51057,Essex County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,1322,197,30,113.01,11.70,8069,4793,14365,23289000,0
FAIRFAX CO PBLC SCHS,Virginia,VIRGINIA,51059,Fairfax County,222,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,187797,27177,35651,13000.42,14.45,9798,5338,17276,1460977000,0
FALLS CHURCH CITY PBLC SCHS,Virginia,VIRGINIA,51610,Falls Church city,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,2620,348,161,181.10,14.47,10840,8040,21173,41413000,0
FAUQUIER CO PBLC SCHS,Virginia,VIRGINIA,51061,Fauquier County,20,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,11186,1645,686,853.72,13.10,8149,4453,14213,70489000,0
FLOYD CO PBLC SCHS,Virginia,VIRGINIA,51063,Floyd County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1966,265,35,123.21,15.96,6597,4120,11616,937000,0
FLUVANNA CO PBLC SCHS,Virginia,VIRGINIA,51065,Fluvanna County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,3590,441,56,233.50,15.37,6625,4031,12546,78238000,0
FRANKLIN CITY PBLC SCHS,Virginia,VIRGINIA,51620,Franklin city,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,1075,132,13,85.31,12.60,7690,5132,14881,0,0
FRANKLIN CO PBLC SCHS,Virginia,VIRGINIA,51067,Franklin County,16,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,7062,1190,141,541.18,13.05,7221,4097,12528,7529000,0
FREDERICK CO PBLC SCHS,Virginia,VIRGINIA,51840,Frederick County,18,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,13627,1793,714,963.23,14.15,7452,4809,14324,109263000,0
FREDERICKSBURG CITY PBLC SCHS,Virginia,VIRGINIA,51630,Fredericksburg city,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,22-Suburb: Mid-size,1-Yes,1-Yes,Other,3710,431,466,253.89,14.61,8505,4068,13886,2780000,0
GALAX CITY PBLC SCHS,Virginia,VIRGINIA,51640,Galax city,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,33-Town: Remote,1-Yes,1-Yes,Other,1321,173,169,101.01,13.08,6756,3833,11782,262000,0
GILES CO PBLC SCHS,Virginia,VIRGINIA,51071,Giles County,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,2445,408,5,175.83,13.91,6764,3549,11402,13928000,0
GLOUCESTER CO PBLC SCHS,Virginia,VIRGINIA,51073,Gloucester County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,5408,718,57,369.00,14.66,6752,4183,12224,29711000,0
GOOCHLAND CO PBLC SCHS,Virginia,VIRGINIA,51075,Goochland County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,2676,361,54,198.77,13.46,7325,4500,12387,0,0
GRAYSON CO PBLC SCHS,Virginia,VIRGINIA,51077,Grayson County,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,1542,272,16,118.53,13.01,7291,4652,13651,19998000,0
GREENE CO PBLC SCHS,Virginia,VIRGINIA,51079,Greene County,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,31-Town: Fringe,1-Yes,1-Yes,Other,3001,437,108,191.59,15.66,7335,3994,19221,3007000,0
GREENSVILLE CO PBLC SCHS,Virginia,VIRGINIA,51595,Greensville County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,2243,328,42,187.16,11.98,7532,4104,12670,8999000,0
HALIFAX CO PBLC SCHS,Virginia,VIRGINIA,51083,Halifax County,11,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,33-Town: Remote,1-Yes,1-Yes,Other,4960,921,49,438.36,11.31,6745,3939,11480,0,0
HAMPTON CITY PBLC SCHS,Virginia,VIRGINIA,51650,Hampton city,33,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,12-City: Mid-size,1-Yes,1-Yes,Other,19589,2668,319,1291.00,15.17,6435,4505,12112,111320000,0
HANOVER CO PBLC SCHS,Virginia,VIRGINIA,51085,Hanover County,25,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,17726,2578,254,1205.95,14.70,6961,3145,11593,69090000,0
HARRISONBURG CITY PBLC SCHS,Virginia,VIRGINIA,51660,Harrisonburg city,10,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,6437,699,2025,467.52,13.77,7439,4885,14653,0,0
HENRICO CO PBLC SCHS,Virginia,VIRGINIA,51087,Henrico County,81,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,51523,6796,3312,2997.18,17.19,6176,3696,12185,293677000,0
HENRY CO PBLC SCHS,Virginia,VIRGINIA,51089,Henry County,13,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,7455,1123,485,479.01,15.56,6165,3395,11386,29535000,0
HIGHLAND CO PBLC SCHS,Virginia,VIRGINIA,51091,Highland County,2,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,205,35,3,24.51,8.36,11551,7385,20922,0,0
HOPEWELL CITY PBLC SCHS,Virginia,VIRGINIA,51670,Hopewell city,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,4372,684,153,283.53,15.42,7716,3506,12683,21335000,0
ISLE OF WIGHT CO PBLC SCHS,Virginia,VIRGINIA,51093,Isle of Wight County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,5531,694,39,368.23,15.02,6480,4020,12520,8453000,0
KING AND QUEEN CO PBLC SCHS,Virginia,VIRGINIA,51097,King and Queen County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,829,126,10,59.17,14.01,7854,4866,13631,0,0
KING GEO CO PBLC SCHS,Virginia,VIRGINIA,51099,King George County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,4477,595,36,286.29,15.64,6405,3698,10759,9197000,0
KING WILLIAM CO PBLC SCHS,Virginia,VIRGINIA,51101,King William County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,2227,298,23,150.80,14.77,7328,4029,12214,1127000,0
LANCASTER CO PBLC SCHS,Virginia,VIRGINIA,51103,Lancaster County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,1136,156,5,93.37,12.17,7516,6285,15227,0,0
LEE CO PBLC SCHS,Virginia,VIRGINIA,51105,Lee County,11,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,3254,541,7,267.64,12.16,6698,4461,12194,2108000,0
LEXINGTON CITY PBLC SCHS,Virginia,VIRGINIA,51678,Lexington city,2,0,1-Regular local school district that is NOT a component of a supervisory union,01-Elementary school system only,32-Town: Distant,2-No,1-Yes,Elementary,522,58,20,38.11,13.70,6966,3548,14004,0,0
LOUDOUN CO PBLC SCHS,Virginia,VIRGINIA,51107,Loudoun County,92,2,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,81906,9296,9085,5784.22,14.16,9828,4797,17167,876370000,0
LOUISA CO PBLC SCHS,Virginia,VIRGINIA,51109,Louisa County,6,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,4906,864,105,366.57,13.38,7296,4450,13669,23468000,0
LUNENBURG CO PBLC SCHS,Virginia,VIRGINIA,51111,Lunenburg County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,1551,202,90,113.56,13.66,6632,3877,11531,8154000,0
LYNCHBURG CITY PBLC SCHS,Virginia,VIRGINIA,51680,Lynchburg city,18,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,8263,1316,177,593.21,13.93,7634,4748,13581,0,0
MADISON CO PBLC SCHS,Virginia,VIRGINIA,51113,Madison County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1690,162,15,124.50,13.57,7529,4437,13003,0,0
MANASSAS CITY PBLC SCHS,Virginia,VIRGINIA,51683,Manassas city,11,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,7723,969,2386,504.13,15.32,8053,4900,14935,7358000,0
MANASSAS PARK CITY PBLC SCHS,Virginia,VIRGINIA,51685,Manassas Park city,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,3724,457,1231,250.94,14.84,6759,3751,11735,0,0
MARTINSVILLE CITY PBLC SCHS,Virginia,VIRGINIA,51690,Martinsville city,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,1942,215,115,145.92,13.31,7494,5153,13855,0,0
MATHEWS CO PBLC SCHS,Virginia,VIRGINIA,51115,Mathews County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1064,171,18,92.10,11.55,7208,5159,13924,1007000,0
MECKLENBURG CO PBLC SCHS,Virginia,VIRGINIA,51117,Mecklenburg County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,41-Rural: Fringe,1-Yes,1-Yes,Other,4215,499,45,339.71,12.41,6581,3934,13659,56928000,0
MIDDLESEX CO PBLC SCHS,Virginia,VIRGINIA,51119,Middlesex County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1222,224,12,92.85,13.16,7408,5244,14642,12413000,0
MONTGOMERY CO PBLC SCHS,Virginia,VIRGINIA,51121,Montgomery County,21,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,9924,1048,325,743.41,13.35,6573,4273,12274,135240000,0
NELSON CO PBLC SCHS,Virginia,VIRGINIA,51125,Nelson County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1807,283,40,140.62,12.85,8006,5844,14993,13036000,0
NEW KENT CO PBLC SCHS,Virginia,VIRGINIA,51127,New Kent County,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,3306,429,24,204.00,16.21,6023,3604,10616,37246000,0
NEWPORT NEWS CITY PBLC SCHS,Virginia,VIRGINIA,51700,Newport News city,45,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,12-City: Mid-size,1-Yes,1-Yes,Other,28652,3684,1553,1786.87,16.03,6682,4390,12767,0,0
NORFOLK CITY PBLC SCHS,Virginia,VIRGINIA,51710,Norfolk city,52,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,12-City: Mid-size,1-Yes,1-Yes,Other,30087,4321,841,2201.65,13.67,7567,4042,12770,0,0
NORTHAMPTON CO PBLC SCHS,Virginia,VIRGINIA,51131,Northampton County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,43-Rural: Remote,1-Yes,1-Yes,Other,1607,254,146,126.67,12.69,6793,5042,13036,5337000,0
NORTHUMBERLAND CO PBLC SCHS,Virginia,VIRGINIA,51133,Northumberland County,3,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,1315,206,24,103.08,12.76,8244,5326,14990,0,0
NORTON CITY PBLC SCHS,Virginia,VIRGINIA,51720,Norton city,2,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,842,130,6,55.10,15.28,5587,3061,10071,8558000,0
NOTTOWAY CO PBLC SCHS,Virginia,VIRGINIA,51135,Nottoway County,5,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,2043,254,78,149.99,13.62,6108,4159,11452,0,0
ORANGE CO PBLC SCHS,Virginia,VIRGINIA,51137,Orange County,11,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,32-Town: Distant,1-Yes,1-Yes,Other,5041,566,159,359.22,14.03,6532,3901,11852,0,0
PAGE CO PBLC SCHS,Virginia,VIRGINIA,51139,Page County,9,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,3331,456,16,230.12,14.48,6673,3744,12126,40691000,0
PATRICK CO PBLC SCHS,Virginia,VIRGINIA,51141,Patrick County,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,2600,412,49,185.95,13.98,6458,3338,10589,0,0
PETERSBURG CITY PBLC SCHS,Virginia,VIRGINIA,51730,Petersburg city,7,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,4194,475,172,296.55,14.14,6730,5166,12821,0,0
PITTSYLVANIA CO PBLC SCHS,Virginia,VIRGINIA,51143,Pittsylvania County,20,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,42-Rural: Distant,1-Yes,1-Yes,Other,8845,1107,201,626.76,14.11,6358,3621,10735,0,0
POQUOSON CITY PBLC SCHS,Virginia,VIRGINIA,51735,Poquoson city,4,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,21-Suburb: Large,1-Yes,1-Yes,Other,2119,242,4,157.11,13.49,6784,3825,11681,0,0
PORTSMOUTH CITY PBLC SCHS,Virginia,VIRGINIA,51740,Portsmouth city,24,0,1-Regular local school district that is NOT a component of a supervisory union,03-Elementary/secondary school system,13-City: Small,1-Yes,1-Yes,Other,14006,1712,107,946.91,14.79,6839,4500,12511,0,0
