"Advanced Program Information"
3/17/2022

Year,Level,Division,"Enrollment Type",Count,Percent
"2018 - 2019",DIV,"Arlington County Public Schools","Advanced Placement Test Taken Preliminary Results",2719,37.32
"2018 - 2019",DIV,"Arlington County Public Schools","Advanced Placement course enrollment",2719,37.32
"2018 - 2019",DIV,"Arlington County Public Schools","Dual Enrollment enrollment",652,8.95
"2018 - 2019",DIV,"Arlington County Public Schools","IB Course enrollment",737,10.12
"2018 - 2019",DIV,"Arlington County Public Schools","IB Exam Taken",363,4.98
"2018 - 2019",DIV,"Arlington County Public Schools","Seniors enrolled in IB Program",95,1.3
"2018 - 2019",DIV,"Augusta County Public Schools","Advanced Placement Test Taken Preliminary Results",284,8.82
"2018 - 2019",DIV,"Augusta County Public Schools","Advanced Placement course enrollment",289,8.97
"2018 - 2019",DIV,"Augusta County Public Schools","Dual Enrollment enrollment",249,7.73
"2018 - 2019",DIV,"Augusta County Public Schools","Governors School enrollment",145,4.5
"2018 - 2019",DIV,"Bath County Public Schools","Dual Enrollment enrollment",18,10.98
"2018 - 2019",DIV,"Bedford County Public Schools","Advanced Placement Test Taken Preliminary Results",282,9.04
"2018 - 2019",DIV,"Bedford County Public Schools","Advanced Placement course enrollment",328,10.52
"2018 - 2019",DIV,"Bedford County Public Schools","Dual Enrollment enrollment",608,19.5
"2018 - 2019",DIV,"Bedford County Public Schools","Governors School enrollment",60,1.92
"2018 - 2019",DIV,"Bland County Public Schools","Dual Enrollment enrollment",54,22.04
"2018 - 2019",DIV,"Botetourt County Public Schools","Advanced Placement Test Taken Preliminary Results",128,8.01
"2018 - 2019",DIV,"Botetourt County Public Schools","Advanced Placement course enrollment",146,9.14
"2018 - 2019",DIV,"Botetourt County Public Schools","Dual Enrollment enrollment",611,38.24
"2018 - 2019",DIV,"Botetourt County Public Schools","Governors School enrollment",34,2.13
"2018 - 2019",DIV,"Bristol City Public Schools","Advanced Placement Test Taken Preliminary Results",43,6.42
"2018 - 2019",DIV,"Bristol City Public Schools","Advanced Placement course enrollment",47,7.01
"2018 - 2019",DIV,"Bristol City Public Schools","Dual Enrollment enrollment",145,21.64
"2018 - 2019",DIV,"Brunswick County Public Schools","Advanced Placement Test Taken Preliminary Results",2,.4
"2018 - 2019",DIV,"Brunswick County Public Schools","Advanced Placement course enrollment",2,.4
"2018 - 2019",DIV,"Brunswick County Public Schools","Dual Enrollment enrollment",49,9.86
"2018 - 2019",DIV,"Buchanan County Public Schools","Dual Enrollment enrollment",219,25
"2018 - 2019",DIV,"Buckingham County Public Schools","Dual Enrollment enrollment",225,39.27
"2018 - 2019",DIV,"Buckingham County Public Schools","Governors School enrollment",18,3.14
"2018 - 2019",DIV,"Buena Vista City Public Schools","Advanced Placement Test Taken Preliminary Results",55,17.68
"2018 - 2019",DIV,"Buena Vista City Public Schools","Advanced Placement course enrollment",56,18.01
"2018 - 2019",DIV,"Buena Vista City Public Schools","Dual Enrollment enrollment",56,18.01
"2018 - 2019",DIV,"Campbell County Public Schools","Advanced Placement Test Taken Preliminary Results",117,4.78
"2018 - 2019",DIV,"Campbell County Public Schools","Advanced Placement course enrollment",118,4.82
"2018 - 2019",DIV,"Campbell County Public Schools","Dual Enrollment enrollment",242,9.89
"2018 - 2019",DIV,"Campbell County Public Schools","Governors School enrollment",29,1.19
"2018 - 2019",DIV,"Caroline County Public Schools","Advanced Placement Test Taken Preliminary Results",56,4.75
"2018 - 2019",DIV,"Caroline County Public Schools","Advanced Placement course enrollment",69,5.85
"2018 - 2019",DIV,"Caroline County Public Schools","Dual Enrollment enrollment",141,11.96
"2018 - 2019",DIV,"Caroline County Public Schools","Governors School enrollment",41,3.48
"2018 - 2019",DIV,"Carroll County Public Schools","Advanced Placement Test Taken Preliminary Results",3,.27
"2018 - 2019",DIV,"Carroll County Public Schools","Advanced Placement course enrollment",6,.54
"2018 - 2019",DIV,"Carroll County Public Schools","Dual Enrollment enrollment",431,39.15
"2018 - 2019",DIV,"Carroll County Public Schools","Governors School enrollment",5,.45
"2018 - 2019",DIV,"Charles City County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.52
"2018 - 2019",DIV,"Charles City County Public Schools","Advanced Placement course enrollment",2,1.05
"2018 - 2019",DIV,"Charles City County Public Schools","Dual Enrollment enrollment",17,8.9
"2018 - 2019",DIV,"Charles City County Public Schools","Governors School enrollment",10,5.24
"2018 - 2019",DIV,"Charlotte County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.19
"2018 - 2019",DIV,"Charlotte County Public Schools","Advanced Placement course enrollment",1,.19
"2018 - 2019",DIV,"Charlotte County Public Schools","Dual Enrollment enrollment",130,24.53
"2018 - 2019",DIV,"Charlotte County Public Schools","Governors School enrollment",20,3.77
"2018 - 2019",DIV,"Charlottesville City Public Schools","Advanced Placement Test Taken Preliminary Results",501,41.89
"2018 - 2019",DIV,"Charlottesville City Public Schools","Advanced Placement course enrollment",502,41.97
"2018 - 2019",DIV,"Charlottesville City Public Schools","Dual Enrollment enrollment",163,13.63
"2018 - 2019",DIV,"Chesapeake City Public Schools","Advanced Placement Test Taken Preliminary Results",1488,11.38
"2018 - 2019",DIV,"Chesapeake City Public Schools","Advanced Placement course enrollment",2385,18.24
"2018 - 2019",DIV,"Chesapeake City Public Schools","Dual Enrollment enrollment",592,4.53
"2018 - 2019",DIV,"Chesapeake City Public Schools","Governors School enrollment",94,.72
"2018 - 2019",DIV,"Chesapeake City Public Schools","IB Course enrollment",64,.49
"2018 - 2019",DIV,"Chesapeake City Public Schools","IB Exam Taken",215,1.64
"2018 - 2019",DIV,"Chesapeake City Public Schools","Seniors enrolled in IB Program",45,.34
"2018 - 2019",DIV,"Chesterfield County Public Schools","Advanced Placement Test Taken Preliminary Results",3621,18.65
"2018 - 2019",DIV,"Chesterfield County Public Schools","Advanced Placement course enrollment",4764,24.54
"2018 - 2019",DIV,"Chesterfield County Public Schools","Dual Enrollment enrollment",2620,13.5
"2018 - 2019",DIV,"Chesterfield County Public Schools","Governors School enrollment",362,1.86
"2018 - 2019",DIV,"Chesterfield County Public Schools","IB Course enrollment",146,.75
"2018 - 2019",DIV,"Clarke County Public Schools","Advanced Placement Test Taken Preliminary Results",58,8.45
"2018 - 2019",DIV,"Clarke County Public Schools","Advanced Placement course enrollment",162,23.62
"2018 - 2019",DIV,"Clarke County Public Schools","Dual Enrollment enrollment",169,24.64
"2018 - 2019",DIV,"Clarke County Public Schools","Governors School enrollment",8,1.17
"2018 - 2019",DIV,"Clarke County Public Schools","IB Course enrollment",309,45.04
"2018 - 2019",DIV,"Clarke County Public Schools","IB Exam Taken",46,6.71
"2018 - 2019",DIV,"Clarke County Public Schools","Seniors enrolled in IB Program",9,1.31
"2018 - 2019",DIV,"Colonial Beach Public Schools","Advanced Placement Test Taken Preliminary Results",7,4
"2018 - 2019",DIV,"Colonial Beach Public Schools","Advanced Placement course enrollment",21,12
"2018 - 2019",DIV,"Colonial Beach Public Schools","Dual Enrollment enrollment",30,17.14
"2018 - 2019",DIV,"Colonial Beach Public Schools","Governors School enrollment",6,3.43
"2018 - 2019",DIV,"Colonial Heights City Public Schools","Advanced Placement Test Taken Preliminary Results",60,6.86
"2018 - 2019",DIV,"Colonial Heights City Public Schools","Advanced Placement course enrollment",97,11.1
"2018 - 2019",DIV,"Colonial Heights City Public Schools","Dual Enrollment enrollment",54,6.18
"2018 - 2019",DIV,"Colonial Heights City Public Schools","Governors School enrollment",11,1.26
"2018 - 2019",DIV,"Covington City Public Schools","Dual Enrollment enrollment",44,15.28
"2018 - 2019",DIV,"Covington City Public Schools","Governors School enrollment",2,.69
"2018 - 2019",DIV,"Craig County Public Schools","Dual Enrollment enrollment",44,20.75
"2018 - 2019",DIV,"Culpeper County Public Schools","Advanced Placement Test Taken Preliminary Results",64,2.52
"2018 - 2019",DIV,"Culpeper County Public Schools","Advanced Placement course enrollment",65,2.56
"2018 - 2019",DIV,"Culpeper County Public Schools","Dual Enrollment enrollment",310,12.21
"2018 - 2019",DIV,"Culpeper County Public Schools","Governors School enrollment",26,1.02
"2018 - 2019",DIV,"Cumberland County Public Schools","Dual Enrollment enrollment",126,30.07
"2018 - 2019",DIV,"Cumberland County Public Schools","Governors School enrollment",13,3.1
"2018 - 2019",DIV,"Danville City Public Schools","Advanced Placement Test Taken Preliminary Results",45,2.89
"2018 - 2019",DIV,"Danville City Public Schools","Advanced Placement course enrollment",64,4.12
"2018 - 2019",DIV,"Danville City Public Schools","Dual Enrollment enrollment",277,17.81
"2018 - 2019",DIV,"Danville City Public Schools","Governors School enrollment",26,1.67
"2018 - 2019",DIV,"Danville City Public Schools","IB Course enrollment",22,1.41
"2018 - 2019",DIV,"Danville City Public Schools","IB Exam Taken",22,1.41
"2018 - 2019",DIV,"Danville City Public Schools","Seniors enrolled in IB Program",16,1.03
"2018 - 2019",DIV,"Dickenson County Public Schools","Dual Enrollment enrollment",93,16.01
"2018 - 2019",DIV,"Dinwiddie County Public Schools","Advanced Placement Test Taken Preliminary Results",61,4.59
"2018 - 2019",DIV,"Dinwiddie County Public Schools","Advanced Placement course enrollment",127,9.55
"2018 - 2019",DIV,"Dinwiddie County Public Schools","Dual Enrollment enrollment",64,4.81
"2018 - 2019",DIV,"Dinwiddie County Public Schools","Governors School enrollment",17,1.28
"2018 - 2019",DIV,"Essex County Public Schools","Advanced Placement Test Taken Preliminary Results",12,2.88
"2018 - 2019",DIV,"Essex County Public Schools","Advanced Placement course enrollment",12,2.88
"2018 - 2019",DIV,"Essex County Public Schools","Dual Enrollment enrollment",60,14.42
"2018 - 2019",DIV,"Essex County Public Schools","Governors School enrollment",25,6.01
"2018 - 2019",DIV,"Fairfax County Public Schools","Advanced Placement Test Taken Preliminary Results",16173,27.35
"2018 - 2019",DIV,"Fairfax County Public Schools","Advanced Placement course enrollment",16547,27.98
"2018 - 2019",DIV,"Fairfax County Public Schools","Dual Enrollment enrollment",2715,4.59
"2018 - 2019",DIV,"Fairfax County Public Schools","Governors School enrollment",1796,3.04
"2018 - 2019",DIV,"Fairfax County Public Schools","IB Course enrollment",6228,10.53
"2018 - 2019",DIV,"Fairfax County Public Schools","IB Exam Taken",3624,6.13
"2018 - 2019",DIV,"Fairfax County Public Schools","Seniors enrolled in IB Program",542,.92
"2018 - 2019",DIV,"Falls Church City Public Schools","Dual Enrollment enrollment",71,8.61
"2018 - 2019",DIV,"Fauquier County Public Schools","Advanced Placement Test Taken Preliminary Results",1115,29.43
"2018 - 2019",DIV,"Fauquier County Public Schools","Advanced Placement course enrollment",1140,30.09
"2018 - 2019",DIV,"Fauquier County Public Schools","Dual Enrollment enrollment",1044,27.55
"2018 - 2019",DIV,"Fauquier County Public Schools","Governors School enrollment",69,1.82
"2018 - 2019",DIV,"Floyd County Public Schools","Dual Enrollment enrollment",187,29.4
"2018 - 2019",DIV,"Floyd County Public Schools","Governors School enrollment",13,2.04
"2018 - 2019",DIV,"Fluvanna County Public Schools","Advanced Placement Test Taken Preliminary Results",171,14.73
"2018 - 2019",DIV,"Fluvanna County Public Schools","Advanced Placement course enrollment",180,15.5
"2018 - 2019",DIV,"Fluvanna County Public Schools","Dual Enrollment enrollment",235,20.24
"2018 - 2019",DIV,"Fluvanna County Public Schools","Governors School enrollment",121,10.42
"2018 - 2019",DIV,"Franklin City Public Schools","Advanced Placement Test Taken Preliminary Results",1,.33
"2018 - 2019",DIV,"Franklin City Public Schools","Advanced Placement course enrollment",2,.66
"2018 - 2019",DIV,"Franklin City Public Schools","Dual Enrollment enrollment",19,6.25
"2018 - 2019",DIV,"Franklin City Public Schools","Governors School enrollment",6,1.97
"2018 - 2019",DIV,"Franklin County Public Schools","Advanced Placement Test Taken Preliminary Results",179,8.59
"2018 - 2019",DIV,"Franklin County Public Schools","Advanced Placement course enrollment",179,8.59
"2018 - 2019",DIV,"Franklin County Public Schools","Dual Enrollment enrollment",270,12.96
"2018 - 2019",DIV,"Franklin County Public Schools","Governors School enrollment",29,1.39
"2018 - 2019",DIV,"Frederick County Public Schools","Advanced Placement Test Taken Preliminary Results",265,6.19
"2018 - 2019",DIV,"Frederick County Public Schools","Advanced Placement course enrollment",1084,25.3
"2018 - 2019",DIV,"Frederick County Public Schools","Dual Enrollment enrollment",777,18.14
"2018 - 2019",DIV,"Fredericksburg City Public Schools","Advanced Placement Test Taken Preliminary Results",122,12.07
"2018 - 2019",DIV,"Fredericksburg City Public Schools","Advanced Placement course enrollment",136,13.45
"2018 - 2019",DIV,"Fredericksburg City Public Schools","Dual Enrollment enrollment",27,2.67
"2018 - 2019",DIV,"Fredericksburg City Public Schools","IB Course enrollment",13,1.29
"2018 - 2019",DIV,"Fredericksburg City Public Schools","Seniors enrolled in IB Program",13,1.29
"2018 - 2019",DIV,"Galax City Public Schools","Advanced Placement Test Taken Preliminary Results",11,3.13
"2018 - 2019",DIV,"Galax City Public Schools","Advanced Placement course enrollment",11,3.13
"2018 - 2019",DIV,"Galax City Public Schools","Dual Enrollment enrollment",66,18.8
"2018 - 2019",DIV,"Galax City Public Schools","Governors School enrollment",6,1.71
"2018 - 2019",DIV,"Giles County Public Schools","Dual Enrollment enrollment",245,31.57
"2018 - 2019",DIV,"Giles County Public Schools","Governors School enrollment",20,2.58
"2018 - 2019",DIV,"Gloucester County Public Schools","Advanced Placement Test Taken Preliminary Results",48,2.71
"2018 - 2019",DIV,"Gloucester County Public Schools","Advanced Placement course enrollment",108,6.09
"2018 - 2019",DIV,"Gloucester County Public Schools","Dual Enrollment enrollment",262,14.78
"2018 - 2019",DIV,"Gloucester County Public Schools","Governors School enrollment",25,1.41
"2018 - 2019",DIV,"Goochland County Public Schools","Advanced Placement Test Taken Preliminary Results",152,17.8
"2018 - 2019",DIV,"Goochland County Public Schools","Advanced Placement course enrollment",268,31.38
"2018 - 2019",DIV,"Goochland County Public Schools","Dual Enrollment enrollment",141,16.51
"2018 - 2019",DIV,"Goochland County Public Schools","Governors School enrollment",28,3.28
"2018 - 2019",DIV,"Grayson County Public Schools","Dual Enrollment enrollment",175,39.06
"2018 - 2019",DIV,"Greene County Public Schools","Advanced Placement Test Taken Preliminary Results",91,9.77
"2018 - 2019",DIV,"Greene County Public Schools","Advanced Placement course enrollment",120,12.89
"2018 - 2019",DIV,"Greene County Public Schools","Dual Enrollment enrollment",235,25.24
"2018 - 2019",DIV,"Greensville County Public Schools","Dual Enrollment enrollment",199,29.92
"2018 - 2019",DIV,"Greensville County Public Schools","Governors School enrollment",15,2.26
"2018 - 2019",DIV,"Halifax County Public Schools","Advanced Placement course enrollment",249,16.75
"2018 - 2019",DIV,"Halifax County Public Schools","Dual Enrollment enrollment",484,32.55
"2018 - 2019",DIV,"Hampton City Public Schools","Advanced Placement Test Taken Preliminary Results",317,5.34
"2018 - 2019",DIV,"Hampton City Public Schools","Advanced Placement course enrollment",1233,20.77
"2018 - 2019",DIV,"Hampton City Public Schools","Dual Enrollment enrollment",372,6.27
"2018 - 2019",DIV,"Hampton City Public Schools","Governors School enrollment",33,.56
"2018 - 2019",DIV,"Hampton City Public Schools","IB Course enrollment",107,1.8
"2018 - 2019",DIV,"Hampton City Public Schools","IB Exam Taken",23,.39
"2018 - 2019",DIV,"Hampton City Public Schools","Seniors enrolled in IB Program",2,.03
"2018 - 2019",DIV,"Hanover County Public Schools","Advanced Placement Test Taken Preliminary Results",810,13.76
"2018 - 2019",DIV,"Hanover County Public Schools","Advanced Placement course enrollment",1489,25.3
"2018 - 2019",DIV,"Hanover County Public Schools","Dual Enrollment enrollment",305,5.18
"2018 - 2019",DIV,"Hanover County Public Schools","Governors School enrollment",53,.9
"2018 - 2019",DIV,"Hanover County Public Schools","IB Course enrollment",676,11.48
"2018 - 2019",DIV,"Hanover County Public Schools","IB Exam Taken",445,7.56
"2018 - 2019",DIV,"Hanover County Public Schools","Seniors enrolled in IB Program",227,3.86
"2018 - 2019",DIV,"Harrisonburg City Public Schools","Advanced Placement Test Taken Preliminary Results",238,12.73
"2018 - 2019",DIV,"Harrisonburg City Public Schools","Advanced Placement course enrollment",246,13.16
"2018 - 2019",DIV,"Harrisonburg City Public Schools","Dual Enrollment enrollment",250,13.38
"2018 - 2019",DIV,"Harrisonburg City Public Schools","Governors School enrollment",10,.54
"2018 - 2019",DIV,"Henrico County Public Schools","Advanced Placement Test Taken Preliminary Results",3016,19.05
"2018 - 2019",DIV,"Henrico County Public Schools","Advanced Placement course enrollment",4138,26.14
"2018 - 2019",DIV,"Henrico County Public Schools","Dual Enrollment enrollment",568,3.59
"2018 - 2019",DIV,"Henrico County Public Schools","Governors School enrollment",180,1.14
"2018 - 2019",DIV,"Henrico County Public Schools","IB Course enrollment",489,3.09
"2018 - 2019",DIV,"Henrico County Public Schools","IB Exam Taken",224,1.41
"2018 - 2019",DIV,"Henrico County Public Schools","Seniors enrolled in IB Program",122,.77
"2018 - 2019",DIV,"Henry County Public Schools","Advanced Placement Test Taken Preliminary Results",16,.73
"2018 - 2019",DIV,"Henry County Public Schools","Advanced Placement course enrollment",572,26.06
"2018 - 2019",DIV,"Henry County Public Schools","Dual Enrollment enrollment",429,19.54
"2018 - 2019",DIV,"Henry County Public Schools","Governors School enrollment",41,1.87
"2018 - 2019",DIV,"Highland County Public Schools","Advanced Placement Test Taken Preliminary Results",4,6.25
"2018 - 2019",DIV,"Highland County Public Schools","Advanced Placement course enrollment",7,10.94
"2018 - 2019",DIV,"Highland County Public Schools","Dual Enrollment enrollment",4,6.25
"2018 - 2019",DIV,"Hopewell City Public Schools","Advanced Placement Test Taken Preliminary Results",28,2.41
"2018 - 2019",DIV,"Hopewell City Public Schools","Advanced Placement course enrollment",28,2.41
"2018 - 2019",DIV,"Hopewell City Public Schools","Dual Enrollment enrollment",100,8.62
"2018 - 2019",DIV,"Hopewell City Public Schools","Governors School enrollment",22,1.9
"2018 - 2019",DIV,"Isle of Wight County Public Schools","Advanced Placement Test Taken Preliminary Results",223,12.62
"2018 - 2019",DIV,"Isle of Wight County Public Schools","Advanced Placement course enrollment",322,18.22
"2018 - 2019",DIV,"Isle of Wight County Public Schools","Dual Enrollment enrollment",335,18.96
"2018 - 2019",DIV,"Isle of Wight County Public Schools","Governors School enrollment",46,2.6
"2018 - 2019",DIV,"King George County Public Schools","Advanced Placement Test Taken Preliminary Results",256,19.09
"2018 - 2019",DIV,"King George County Public Schools","Advanced Placement course enrollment",286,21.33
"2018 - 2019",DIV,"King George County Public Schools","Dual Enrollment enrollment",134,9.99
"2018 - 2019",DIV,"King George County Public Schools","Governors School enrollment",92,6.86
"2018 - 2019",DIV,"King William County Public Schools","Advanced Placement Test Taken Preliminary Results",46,6.37
"2018 - 2019",DIV,"King William County Public Schools","Advanced Placement course enrollment",98,13.57
"2018 - 2019",DIV,"King William County Public Schools","Dual Enrollment enrollment",123,17.04
"2018 - 2019",DIV,"King William County Public Schools","Governors School enrollment",27,3.74
"2018 - 2019",DIV,"King and Queen County Public Schools","Dual Enrollment enrollment",3,1.89
"2018 - 2019",DIV,"King and Queen County Public Schools","Governors School enrollment",9,5.66
"2018 - 2019",DIV,"Lancaster County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.26
"2018 - 2019",DIV,"Lancaster County Public Schools","Advanced Placement course enrollment",1,.26
"2018 - 2019",DIV,"Lancaster County Public Schools","Dual Enrollment enrollment",64,16.8
"2018 - 2019",DIV,"Lancaster County Public Schools","Governors School enrollment",18,4.72
"2018 - 2019",DIV,"Lee County Public Schools","Dual Enrollment enrollment",175,18.58
"2018 - 2019",DIV,"Loudoun County Public Schools","Advanced Placement Test Taken Preliminary Results",2480,9.71
"2018 - 2019",DIV,"Loudoun County Public Schools","Advanced Placement course enrollment",9685,37.94
"2018 - 2019",DIV,"Loudoun County Public Schools","Dual Enrollment enrollment",5178,20.28
"2018 - 2019",DIV,"Louisa County Public Schools","Advanced Placement Test Taken Preliminary Results",135,9.41
"2018 - 2019",DIV,"Louisa County Public Schools","Advanced Placement course enrollment",166,11.58
"2018 - 2019",DIV,"Louisa County Public Schools","Dual Enrollment enrollment",266,18.55
"2018 - 2019",DIV,"Louisa County Public Schools","Governors School enrollment",90,6.28
"2018 - 2019",DIV,"Lunenburg County Public Schools","Advanced Placement Test Taken Preliminary Results",17,3.92
"2018 - 2019",DIV,"Lunenburg County Public Schools","Advanced Placement course enrollment",18,4.15
"2018 - 2019",DIV,"Lunenburg County Public Schools","Dual Enrollment enrollment",44,10.14
"2018 - 2019",DIV,"Lunenburg County Public Schools","Governors School enrollment",14,3.23
"2018 - 2019",DIV,"Lynchburg City Public Schools","Advanced Placement Test Taken Preliminary Results",203,8.33
"2018 - 2019",DIV,"Lynchburg City Public Schools","Advanced Placement course enrollment",209,8.58
"2018 - 2019",DIV,"Lynchburg City Public Schools","Dual Enrollment enrollment",282,11.58
"2018 - 2019",DIV,"Lynchburg City Public Schools","Governors School enrollment",43,1.77
"2018 - 2019",DIV,"Madison County Public Schools","Advanced Placement Test Taken Preliminary Results",45,8.29
"2018 - 2019",DIV,"Madison County Public Schools","Advanced Placement course enrollment",45,8.29
"2018 - 2019",DIV,"Madison County Public Schools","Dual Enrollment enrollment",117,21.55
"2018 - 2019",DIV,"Madison County Public Schools","Governors School enrollment",64,11.79
"2018 - 2019",DIV,"Manassas City Public Schools","Advanced Placement Test Taken Preliminary Results",260,11.77
"2018 - 2019",DIV,"Manassas City Public Schools","Advanced Placement course enrollment",270,12.22
"2018 - 2019",DIV,"Manassas City Public Schools","Dual Enrollment enrollment",297,13.44
"2018 - 2019",DIV,"Manassas City Public Schools","Governors School enrollment",16,.72
"2018 - 2019",DIV,"Manassas Park City Public Schools","Advanced Placement Test Taken Preliminary Results",167,14.45
"2018 - 2019",DIV,"Manassas Park City Public Schools","Advanced Placement course enrollment",169,14.62
"2018 - 2019",DIV,"Manassas Park City Public Schools","Dual Enrollment enrollment",86,7.44
"2018 - 2019",DIV,"Manassas Park City Public Schools","Governors School enrollment",1,.09
"2018 - 2019",DIV,"Martinsville City Public Schools","Advanced Placement course enrollment",121,21.88
"2018 - 2019",DIV,"Martinsville City Public Schools","Dual Enrollment enrollment",106,19.17
"2018 - 2019",DIV,"Martinsville City Public Schools","Governors School enrollment",25,4.52
"2018 - 2019",DIV,"Mathews County Public Schools","Advanced Placement Test Taken Preliminary Results",12,3.27
"2018 - 2019",DIV,"Mathews County Public Schools","Advanced Placement course enrollment",20,5.45
"2018 - 2019",DIV,"Mathews County Public Schools","Dual Enrollment enrollment",81,22.07
"2018 - 2019",DIV,"Mathews County Public Schools","Governors School enrollment",15,4.09
"2018 - 2019",DIV,"Mecklenburg County Public Schools","Dual Enrollment enrollment",347,26.73
"2018 - 2019",DIV,"Middlesex County Public Schools","Advanced Placement Test Taken Preliminary Results",22,5.85
"2018 - 2019",DIV,"Middlesex County Public Schools","Advanced Placement course enrollment",25,6.65
"2018 - 2019",DIV,"Middlesex County Public Schools","Dual Enrollment enrollment",72,19.15
"2018 - 2019",DIV,"Middlesex County Public Schools","Governors School enrollment",28,7.45
"2018 - 2019",DIV,"Montgomery County Public Schools","Advanced Placement Test Taken Preliminary Results",614,20.95
"2018 - 2019",DIV,"Montgomery County Public Schools","Advanced Placement course enrollment",775,26.44
"2018 - 2019",DIV,"Montgomery County Public Schools","Dual Enrollment enrollment",882,30.09
"2018 - 2019",DIV,"Montgomery County Public Schools","Governors School enrollment",18,.61
"2018 - 2019",DIV,"Nelson County Public Schools","Advanced Placement Test Taken Preliminary Results",34,5.38
"2018 - 2019",DIV,"Nelson County Public Schools","Advanced Placement course enrollment",44,6.96
"2018 - 2019",DIV,"Nelson County Public Schools","Dual Enrollment enrollment",85,13.45
"2018 - 2019",DIV,"New Kent County Public Schools","Advanced Placement Test Taken Preliminary Results",71,7.35
"2018 - 2019",DIV,"New Kent County Public Schools","Advanced Placement course enrollment",71,7.35
"2018 - 2019",DIV,"New Kent County Public Schools","Dual Enrollment enrollment",146,15.11
"2018 - 2019",DIV,"New Kent County Public Schools","Governors School enrollment",24,2.48
"2018 - 2019",DIV,"Newport News City Public Schools","Advanced Placement Test Taken Preliminary Results",1788,23.21
"2018 - 2019",DIV,"Newport News City Public Schools","Advanced Placement course enrollment",1958,25.41
"2018 - 2019",DIV,"Newport News City Public Schools","Dual Enrollment enrollment",219,2.84
"2018 - 2019",DIV,"Newport News City Public Schools","Governors School enrollment",12,.16
"2018 - 2019",DIV,"Newport News City Public Schools","IB Course enrollment",102,1.32
"2018 - 2019",DIV,"Newport News City Public Schools","IB Exam Taken",47,.61
"2018 - 2019",DIV,"Newport News City Public Schools","Seniors enrolled in IB Program",45,.58
"2018 - 2019",DIV,"Norfolk City Public Schools","Advanced Placement Test Taken Preliminary Results",1530,20.29
"2018 - 2019",DIV,"Norfolk City Public Schools","Advanced Placement course enrollment",1784,23.66
"2018 - 2019",DIV,"Norfolk City Public Schools","Dual Enrollment enrollment",124,1.64
"2018 - 2019",DIV,"Norfolk City Public Schools","Governors School enrollment",53,.7
"2018 - 2019",DIV,"Norfolk City Public Schools","IB Course enrollment",110,1.46
"2018 - 2019",DIV,"Norfolk City Public Schools","IB Exam Taken",96,1.27
"2018 - 2019",DIV,"Norfolk City Public Schools","Seniors enrolled in IB Program",55,.73
"2018 - 2019",DIV,"Northampton County Public Schools","Advanced Placement Test Taken Preliminary Results",1,.22
"2018 - 2019",DIV,"Northampton County Public Schools","Advanced Placement course enrollment",52,11.21
