"Diplomas and Completion"
3/17/2022

Year,Level,Division,Subgroup,Cohort,"Dropout Count","Dropout Rate","Advanced Diplomas","Standard Count","Other Diplomas Count","GED ISAEP","Standard and Other Diplomas Count","GED Other Non-Graduation Count","Other Non-Graduation Count"
2018,DIV,"Bland County Public Schools",Male,45,2,4.4,6,32,5,0,0,0,37
2018,DIV,"Bland County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bland County Public Schools","Students with Disabilities",13,0,0,0,8,5,0,0,0,13
2018,DIV,"Bland County Public Schools",White,71,4,5.6,14,47,5,0,1,1,52
2018,DIV,"Botetourt County Public Schools","All Students",385,11,2.9,240,117,10,4,3,7,127
2018,DIV,"Botetourt County Public Schools",Asian,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Botetourt County Public Schools",Black,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Botetourt County Public Schools","Economically Disadvantaged",62,6,9.7,14,36,4,2,0,2,40
2018,DIV,"Botetourt County Public Schools","English Learners",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Botetourt County Public Schools",Female,179,5,2.8,125,49,0,0,0,0,49
2018,DIV,"Botetourt County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Botetourt County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Botetourt County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Botetourt County Public Schools",Male,206,6,2.9,115,68,10,4,3,7,78
2018,DIV,"Botetourt County Public Schools","Military Connected",10,0,0,9,1,0,0,0,0,1
2018,DIV,"Botetourt County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Botetourt County Public Schools","Students with Disabilities",39,3,7.7,2,23,10,1,0,1,33
2018,DIV,"Botetourt County Public Schools",White,360,9,2.5,225,109,10,4,3,7,119
2018,DIV,"Bristol City Public Schools","All Students",188,13,6.9,49,100,9,1,16,17,109
2018,DIV,"Bristol City Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bristol City Public Schools",Black,12,0,0,0,8,2,0,2,2,10
2018,DIV,"Bristol City Public Schools","Economically Disadvantaged",113,12,10.6,11,68,6,1,15,16,74
2018,DIV,"Bristol City Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bristol City Public Schools",Female,87,3,3.4,25,48,4,1,6,7,52
2018,DIV,"Bristol City Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bristol City Public Schools",Hispanic,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Bristol City Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Bristol City Public Schools",Male,101,10,9.9,24,52,5,0,10,10,57
2018,DIV,"Bristol City Public Schools","Multiple Races",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Bristol City Public Schools","Students with Disabilities",22,0,0,0,13,9,0,0,0,22
2018,DIV,"Bristol City Public Schools",White,163,10,6.1,46,85,7,1,14,15,92
2018,DIV,"Brunswick County Public Schools","All Students",130,16,12.3,38,61,5,2,8,10,66
2018,DIV,"Brunswick County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Brunswick County Public Schools",Black,98,10,10.2,30,44,5,2,7,9,49
2018,DIV,"Brunswick County Public Schools","Economically Disadvantaged",68,9,13.2,15,36,1,2,5,7,37
2018,DIV,"Brunswick County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Brunswick County Public Schools",Female,71,6,8.5,27,30,3,1,4,5,33
2018,DIV,"Brunswick County Public Schools",Hispanic,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Brunswick County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Brunswick County Public Schools",Male,59,10,16.9,11,31,2,1,4,5,33
2018,DIV,"Brunswick County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Brunswick County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Brunswick County Public Schools","Students with Disabilities",25,4,16,0,16,5,0,0,0,21
2018,DIV,"Brunswick County Public Schools",White,27,5,18.5,6,15,0,0,1,1,15
2018,DIV,"Buchanan County Public Schools","All Students",222,13,5.9,70,123,0,6,10,16,123
2018,DIV,"Buchanan County Public Schools","Economically Disadvantaged",141,11,7.8,26,91,0,3,10,13,91
2018,DIV,"Buchanan County Public Schools",Female,110,4,3.6,48,55,0,0,3,3,55
2018,DIV,"Buchanan County Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Buchanan County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Buchanan County Public Schools",Male,112,9,8,22,68,0,6,7,13,68
2018,DIV,"Buchanan County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Buchanan County Public Schools","Students with Disabilities",35,8,22.9,0,24,0,1,2,3,24
2018,DIV,"Buchanan County Public Schools",White,219,13,5.9,69,121,0,6,10,16,121
2018,DIV,"Buckingham County Public Schools","All Students",128,6,4.7,56,59,5,1,1,2,64
2018,DIV,"Buckingham County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Buckingham County Public Schools",Black,44,0,0,20,19,3,1,1,2,22
2018,DIV,"Buckingham County Public Schools","Economically Disadvantaged",72,5,6.9,22,40,3,1,1,2,43
2018,DIV,"Buckingham County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Buckingham County Public Schools",Female,61,3,4.9,35,23,0,0,0,0,23
2018,DIV,"Buckingham County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Buckingham County Public Schools",Hispanic,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Buckingham County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Buckingham County Public Schools",Male,67,3,4.5,21,36,5,1,1,2,41
2018,DIV,"Buckingham County Public Schools","Multiple Races",10,2,20,3,5,0,0,0,0,5
2018,DIV,"Buckingham County Public Schools","Students with Disabilities",15,1,6.7,0,9,5,0,0,0,14
2018,DIV,"Buckingham County Public Schools",White,65,2,3.1,31,30,2,0,0,0,32
2018,DIV,"Buena Vista City Public Schools","All Students",111,5,4.5,39,59,2,3,3,6,61
2018,DIV,"Buena Vista City Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Buena Vista City Public Schools",Black,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Buena Vista City Public Schools","Economically Disadvantaged",38,2,5.3,7,24,2,1,2,3,26
2018,DIV,"Buena Vista City Public Schools",Female,59,1,1.7,26,28,1,0,3,3,29
2018,DIV,"Buena Vista City Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Buena Vista City Public Schools",Male,52,4,7.7,13,31,1,3,0,3,32
2018,DIV,"Buena Vista City Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Buena Vista City Public Schools","Students with Disabilities",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Buena Vista City Public Schools",White,99,4,4,35,55,1,2,2,4,56
2018,DIV,"Campbell County Public Schools","All Students",643,21,3.3,274,309,5,27,7,34,314
2018,DIV,"Campbell County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Campbell County Public Schools",Asian,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Campbell County Public Schools",Black,97,6,6.2,31,53,2,3,2,5,55
2018,DIV,"Campbell County Public Schools","Economically Disadvantaged",230,9,3.9,60,135,1,22,3,25,136
2018,DIV,"Campbell County Public Schools","English Learners",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Campbell County Public Schools",Female,306,10,3.3,149,130,1,13,3,16,131
2018,DIV,"Campbell County Public Schools","Foster Care",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Campbell County Public Schools",Hispanic,15,2,13.3,6,6,0,0,1,1,6
2018,DIV,"Campbell County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Campbell County Public Schools",Male,337,11,3.3,125,179,4,14,4,18,183
2018,DIV,"Campbell County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Campbell County Public Schools","Multiple Races",23,0,0,10,10,0,3,0,3,10
2018,DIV,"Campbell County Public Schools","Students with Disabilities",55,4,7.3,2,42,5,2,0,2,47
2018,DIV,"Campbell County Public Schools",White,496,12,2.4,220,237,3,21,3,24,240
2018,DIV,"Caroline County Public Schools","All Students",301,12,4,107,160,13,2,7,9,173
2018,DIV,"Caroline County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Caroline County Public Schools",Asian,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Caroline County Public Schools",Black,72,3,4.2,16,47,3,2,1,3,50
2018,DIV,"Caroline County Public Schools","Economically Disadvantaged",126,6,4.8,29,78,8,2,3,5,86
2018,DIV,"Caroline County Public Schools","English Learners",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Caroline County Public Schools",Female,147,4,2.7,63,73,3,2,2,4,76
2018,DIV,"Caroline County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Caroline County Public Schools",Hispanic,19,1,5.3,10,7,1,0,0,0,8
2018,DIV,"Caroline County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Caroline County Public Schools",Male,154,8,5.2,44,87,10,0,5,5,97
2018,DIV,"Caroline County Public Schools","Multiple Races",22,0,0,8,13,1,0,0,0,14
2018,DIV,"Caroline County Public Schools","Native Hawaiian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Caroline County Public Schools","Students with Disabilities",52,0,0,5,34,13,0,0,0,47
2018,DIV,"Caroline County Public Schools",White,180,8,4.4,68,90,8,0,6,6,98
2018,DIV,"Carroll County Public Schools","All Students",282,18,6.4,136,109,9,6,4,10,118
2018,DIV,"Carroll County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Carroll County Public Schools",Black,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Carroll County Public Schools","Economically Disadvantaged",138,13,9.4,44,66,7,5,3,8,73
2018,DIV,"Carroll County Public Schools","English Learners",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Carroll County Public Schools",Female,123,8,6.5,76,32,4,2,1,3,36
2018,DIV,"Carroll County Public Schools",Hispanic,13,0,0,3,9,0,0,1,1,9
2018,DIV,"Carroll County Public Schools",Homeless,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Carroll County Public Schools",Male,159,10,6.3,60,77,5,4,3,7,82
2018,DIV,"Carroll County Public Schools","Military Connected",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Carroll County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Carroll County Public Schools","Students with Disabilities",49,5,10.2,3,30,9,2,0,2,39
2018,DIV,"Carroll County Public Schools",White,265,18,6.8,131,99,9,5,3,8,108
2018,DIV,"Charles City County Public Schools","All Students",42,0,0,14,27,1,0,0,0,28
2018,DIV,"Charles City County Public Schools","American Indian",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Charles City County Public Schools",Black,26,0,0,9,16,1,0,0,0,17
2018,DIV,"Charles City County Public Schools","Economically Disadvantaged",19,0,0,6,13,0,0,0,0,13
2018,DIV,"Charles City County Public Schools",Female,21,0,0,5,15,1,0,0,0,16
2018,DIV,"Charles City County Public Schools",Hispanic,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Charles City County Public Schools",Homeless,<,0,0,<,<,<,<,<,<,<
2018,DIV,"Charles City County Public Schools",Male,21,0,0,9,12,0,0,0,0,12
2018,DIV,"Charles City County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Charles City County Public Schools","Students with Disabilities",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Charles City County Public Schools",White,11,0,0,2,9,0,0,0,0,9
2018,DIV,"Charlotte County Public Schools","All Students",136,8,5.9,79,40,3,5,1,6,43
2018,DIV,"Charlotte County Public Schools",Black,38,4,10.5,22,10,0,1,1,2,10
2018,DIV,"Charlotte County Public Schools","Economically Disadvantaged",60,7,11.7,27,19,2,4,1,5,21
2018,DIV,"Charlotte County Public Schools","English Learners",<,<,<,<,<,<,<,<,<,<
2018,DIV,"Charlotte County Public Schools",Female,62,3,4.8,41,17,0,0,1,1,17
2018,DIV,"Charlotte County Public Schools","Foster Care",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Charlotte County Public Schools",Hispanic,<,<,<,<,<,<,<,<,<,<
2018,DIV,"Charlotte County Public Schools",Male,74,5,6.8,38,23,3,5,0,5,26
2018,DIV,"Charlotte County Public Schools","Multiple Races",<,0,0,<,<,<,<,<,<,<
2018,DIV,"Charlotte County Public Schools","Students with Disabilities",11,2,18.2,1,4,3,1,0,1,7
2018,DIV,"Charlotte County Public Schools",White,92,3,3.3,55,29,2,3,0,3,31
