"On-time Graduation Rate"
3/17/2022

Year,Level,Division,Subgroup,Cohort,"Graduation Count","Virginia On-Time Graduation Rate","Completer Count","Completion Rate"
2018,DIV,"Alleghany County Public Schools","All Students",189,177,93.7,177,93.7
2018,DIV,"Alleghany County Public Schools",Black,14,12,85.7,12,85.7
2018,DIV,"Alleghany County Public Schools","Economically Disadvantaged",76,65,85.5,65,85.5
2018,DIV,"Alleghany County Public Schools",Female,92,85,92.4,85,92.4
2018,DIV,"Alleghany County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Alleghany County Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Alleghany County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Alleghany County Public Schools",Male,97,92,94.8,92,94.8
2018,DIV,"Alleghany County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Alleghany County Public Schools","Students with Disabilities",19,17,89.5,17,89.5
2018,DIV,"Alleghany County Public Schools",White,170,160,94.1,160,94.1
2018,DIV,"Amelia County Public Schools","All Students",143,139,97.2,139,97.2
2018,DIV,"Amelia County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Amelia County Public Schools",Black,37,37,100,37,100
2018,DIV,"Amelia County Public Schools","Economically Disadvantaged",54,54,100,54,100
2018,DIV,"Amelia County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Amelia County Public Schools",Female,68,65,95.6,65,95.6
2018,DIV,"Amelia County Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Amelia County Public Schools",Male,75,74,98.7,74,98.7
2018,DIV,"Amelia County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Amelia County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Amelia County Public Schools","Students with Disabilities",12,12,100,12,100
2018,DIV,"Amelia County Public Schools",White,92,88,95.7,88,95.7
2018,DIV,"Amherst County Public Schools","All Students",289,249,86.2,257,88.9
2018,DIV,"Amherst County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Amherst County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Amherst County Public Schools",Black,65,54,83.1,56,86.2
2018,DIV,"Amherst County Public Schools","Economically Disadvantaged",151,117,77.5,124,82.1
2018,DIV,"Amherst County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Amherst County Public Schools",Female,128,117,91.4,120,93.8
2018,DIV,"Amherst County Public Schools",Hispanic,16,14,87.5,14,87.5
2018,DIV,"Amherst County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Amherst County Public Schools",Male,161,132,82,137,85.1
2018,DIV,"Amherst County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Amherst County Public Schools","Multiple Races",19,12,63.2,13,68.4
2018,DIV,"Amherst County Public Schools","Native Hawaiian",<,<,<,<,<
2018,DIV,"Amherst County Public Schools","Students with Disabilities",33,28,84.8,29,87.9
2018,DIV,"Amherst County Public Schools",White,183,164,89.6,168,91.8
2018,DIV,"Appomattox County Public Schools","All Students",192,179,93.2,183,95.3
2018,DIV,"Appomattox County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Appomattox County Public Schools",Black,39,38,97.4,38,97.4
2018,DIV,"Appomattox County Public Schools","Economically Disadvantaged",81,71,87.7,74,91.4
2018,DIV,"Appomattox County Public Schools",Female,87,81,93.1,82,94.3
2018,DIV,"Appomattox County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Appomattox County Public Schools",Hispanic,<,<,<,<,<
2018,DIV,"Appomattox County Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Appomattox County Public Schools",Male,105,98,93.3,101,96.2
2018,DIV,"Appomattox County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Appomattox County Public Schools","Multiple Races",11,9,81.8,10,90.9
2018,DIV,"Appomattox County Public Schools","Students with Disabilities",22,20,90.9,20,90.9
2018,DIV,"Appomattox County Public Schools",White,136,127,93.4,129,94.9
2018,DIV,"Arlington County Public Schools","All Students",1769,1636,92.5,1644,92.9
2018,DIV,"Arlington County Public Schools","American Indian",<,<,<,<,<
2018,DIV,"Arlington County Public Schools",Asian,170,164,96.5,166,97.6
2018,DIV,"Arlington County Public Schools",Black,189,179,94.7,182,96.3
2018,DIV,"Arlington County Public Schools","Economically Disadvantaged",513,473,92.2,477,93
2018,DIV,"Arlington County Public Schools","English Learners",445,343,77.1,346,77.8
2018,DIV,"Arlington County Public Schools",Female,819,771,94.1,774,94.5
2018,DIV,"Arlington County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Arlington County Public Schools",Hispanic,548,446,81.4,447,81.6
2018,DIV,"Arlington County Public Schools",Homeless,19,13,68.4,13,68.4
2018,DIV,"Arlington County Public Schools",Male,950,865,91.1,870,91.6
2018,DIV,"Arlington County Public Schools","Military Connected",38,38,100,38,100
2018,DIV,"Arlington County Public Schools","Multiple Races",100,97,97,97,97
2018,DIV,"Arlington County Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Arlington County Public Schools","Students with Disabilities",288,268,93.1,268,93.1
2018,DIV,"Arlington County Public Schools",White,754,743,98.5,745,98.8
2018,DIV,"Augusta County Public Schools","All Students",793,736,92.8,755,95.2
2018,DIV,"Augusta County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Augusta County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Augusta County Public Schools",Black,12,11,91.7,11,91.7
2018,DIV,"Augusta County Public Schools","Economically Disadvantaged",242,208,86,216,89.3
2018,DIV,"Augusta County Public Schools","English Learners",12,8,66.7,8,66.7
2018,DIV,"Augusta County Public Schools",Female,376,355,94.4,360,95.7
2018,DIV,"Augusta County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Augusta County Public Schools",Hispanic,35,30,85.7,30,85.7
2018,DIV,"Augusta County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Augusta County Public Schools",Male,417,381,91.4,395,94.7
2018,DIV,"Augusta County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Augusta County Public Schools","Multiple Races",19,19,100,19,100
2018,DIV,"Augusta County Public Schools","Students with Disabilities",54,50,92.6,51,94.4
2018,DIV,"Augusta County Public Schools",White,718,667,92.9,686,95.5
2018,DIV,"Bath County Public Schools","All Students",48,42,87.5,42,87.5
2018,DIV,"Bath County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Bath County Public Schools",Black,<,<,100,<,100
2018,DIV,"Bath County Public Schools","Economically Disadvantaged",16,13,81.3,13,81.3
2018,DIV,"Bath County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Bath County Public Schools",Female,20,17,85,17,85
2018,DIV,"Bath County Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Bath County Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Bath County Public Schools",Male,28,25,89.3,25,89.3
2018,DIV,"Bath County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Bath County Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Bath County Public Schools","Students with Disabilities",<,<,<,<,<
2018,DIV,"Bath County Public Schools",White,43,37,86,37,86
2018,DIV,"Bedford County Public Schools","All Students",802,728,90.8,745,92.9
2018,DIV,"Bedford County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Bedford County Public Schools",Asian,12,11,91.7,11,91.7
2018,DIV,"Bedford County Public Schools",Black,47,42,89.4,44,93.6
2018,DIV,"Bedford County Public Schools","Economically Disadvantaged",235,194,82.6,206,87.7
2018,DIV,"Bedford County Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Bedford County Public Schools",Female,415,384,92.5,392,94.5
2018,DIV,"Bedford County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Bedford County Public Schools",Hispanic,20,19,95,19,95
2018,DIV,"Bedford County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Bedford County Public Schools",Male,387,344,88.9,353,91.2
2018,DIV,"Bedford County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Bedford County Public Schools","Multiple Races",22,20,90.9,20,90.9
2018,DIV,"Bedford County Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Bedford County Public Schools","Students with Disabilities",89,74,83.1,74,83.1
2018,DIV,"Bedford County Public Schools",White,697,632,90.7,647,92.8
2018,DIV,"Bland County Public Schools","All Students",75,70,93.3,70,93.3
2018,DIV,"Bland County Public Schools","Economically Disadvantaged",32,29,90.6,29,90.6
2018,DIV,"Bland County Public Schools",Female,30,27,90,27,90
2018,DIV,"Bland County Public Schools",Male,45,43,95.6,43,95.6
2018,DIV,"Bland County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Bland County Public Schools","Students with Disabilities",13,13,100,13,100
2018,DIV,"Bland County Public Schools",White,71,66,93,66,93
2018,DIV,"Botetourt County Public Schools","All Students",385,367,95.3,371,96.4
2018,DIV,"Botetourt County Public Schools",Asian,<,<,<,<,<
2018,DIV,"Botetourt County Public Schools",Black,<,<,<,<,<
2018,DIV,"Botetourt County Public Schools","Economically Disadvantaged",62,54,87.1,56,90.3
2018,DIV,"Botetourt County Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Botetourt County Public Schools",Female,179,174,97.2,174,97.2
2018,DIV,"Botetourt County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Botetourt County Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Botetourt County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Botetourt County Public Schools",Male,206,193,93.7,197,95.6
2018,DIV,"Botetourt County Public Schools","Military Connected",10,10,100,10,100
2018,DIV,"Botetourt County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Botetourt County Public Schools","Students with Disabilities",39,35,89.7,36,92.3
2018,DIV,"Botetourt County Public Schools",White,360,344,95.6,348,96.7
2018,DIV,"Bristol City Public Schools","All Students",188,158,84,159,84.6
2018,DIV,"Bristol City Public Schools",Asian,<,<,100,<,100
2018,DIV,"Bristol City Public Schools",Black,12,10,83.3,10,83.3
2018,DIV,"Bristol City Public Schools","Economically Disadvantaged",113,85,75.2,86,76.1
2018,DIV,"Bristol City Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Bristol City Public Schools",Female,87,77,88.5,78,89.7
2018,DIV,"Bristol City Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Bristol City Public Schools",Hispanic,<,<,<,<,<
2018,DIV,"Bristol City Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Bristol City Public Schools",Male,101,81,80.2,81,80.2
2018,DIV,"Bristol City Public Schools","Multiple Races",<,<,<,<,<
2018,DIV,"Bristol City Public Schools","Students with Disabilities",22,22,100,22,100
2018,DIV,"Bristol City Public Schools",White,163,138,84.7,139,85.3
2018,DIV,"Brunswick County Public Schools","All Students",130,104,80,106,81.5
2018,DIV,"Brunswick County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Brunswick County Public Schools",Black,98,79,80.6,81,82.7
2018,DIV,"Brunswick County Public Schools","Economically Disadvantaged",68,52,76.5,54,79.4
2018,DIV,"Brunswick County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Brunswick County Public Schools",Female,71,60,84.5,61,85.9
2018,DIV,"Brunswick County Public Schools",Hispanic,<,<,<,<,<
2018,DIV,"Brunswick County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Brunswick County Public Schools",Male,59,44,74.6,45,76.3
2018,DIV,"Brunswick County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Brunswick County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Brunswick County Public Schools","Students with Disabilities",25,21,84,21,84
2018,DIV,"Brunswick County Public Schools",White,27,21,77.8,21,77.8
2018,DIV,"Buchanan County Public Schools","All Students",222,193,86.9,201,90.5
2018,DIV,"Buchanan County Public Schools","Economically Disadvantaged",141,117,83,122,86.5
2018,DIV,"Buchanan County Public Schools",Female,110,103,93.6,103,93.6
2018,DIV,"Buchanan County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Buchanan County Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Buchanan County Public Schools",Male,112,90,80.4,98,87.5
2018,DIV,"Buchanan County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Buchanan County Public Schools","Students with Disabilities",35,24,68.6,27,77.1
2018,DIV,"Buchanan County Public Schools",White,219,190,86.8,198,90.4
2018,DIV,"Buckingham County Public Schools","All Students",128,120,93.8,121,94.5
2018,DIV,"Buckingham County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Buckingham County Public Schools",Black,44,42,95.5,43,97.7
2018,DIV,"Buckingham County Public Schools","Economically Disadvantaged",72,65,90.3,66,91.7
2018,DIV,"Buckingham County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Buckingham County Public Schools",Female,61,58,95.1,58,95.1
2018,DIV,"Buckingham County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Buckingham County Public Schools",Hispanic,<,<,<,<,<
2018,DIV,"Buckingham County Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Buckingham County Public Schools",Male,67,62,92.5,63,94
2018,DIV,"Buckingham County Public Schools","Multiple Races",10,8,80,8,80
2018,DIV,"Buckingham County Public Schools","Students with Disabilities",15,14,93.3,14,93.3
2018,DIV,"Buckingham County Public Schools",White,65,63,96.9,63,96.9
2018,DIV,"Buena Vista City Public Schools","All Students",111,100,90.1,103,92.8
2018,DIV,"Buena Vista City Public Schools","American Indian",<,<,<,<,<
2018,DIV,"Buena Vista City Public Schools",Black,<,<,<,<,<
2018,DIV,"Buena Vista City Public Schools","Economically Disadvantaged",38,33,86.8,34,89.5
2018,DIV,"Buena Vista City Public Schools",Female,59,55,93.2,55,93.2
2018,DIV,"Buena Vista City Public Schools",Hispanic,<,<,<,<,<
2018,DIV,"Buena Vista City Public Schools",Male,52,45,86.5,48,92.3
2018,DIV,"Buena Vista City Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Buena Vista City Public Schools","Students with Disabilities",<,<,<,<,<
2018,DIV,"Buena Vista City Public Schools",White,99,91,91.9,93,93.9
2018,DIV,"Campbell County Public Schools","All Students",643,588,91.4,617,96
2018,DIV,"Campbell County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Campbell County Public Schools",Asian,<,<,<,<,<
2018,DIV,"Campbell County Public Schools",Black,97,86,88.7,90,92.8
2018,DIV,"Campbell County Public Schools","Economically Disadvantaged",230,196,85.2,220,95.7
2018,DIV,"Campbell County Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Campbell County Public Schools",Female,306,280,91.5,294,96.1
2018,DIV,"Campbell County Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Campbell County Public Schools",Hispanic,15,12,80,13,86.7
2018,DIV,"Campbell County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Campbell County Public Schools",Male,337,308,91.4,323,95.8
2018,DIV,"Campbell County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Campbell County Public Schools","Multiple Races",23,20,87,23,100
2018,DIV,"Campbell County Public Schools","Students with Disabilities",55,49,89.1,51,92.7
2018,DIV,"Campbell County Public Schools",White,496,460,92.7,481,97
2018,DIV,"Caroline County Public Schools","All Students",301,280,93,282,93.7
2018,DIV,"Caroline County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Caroline County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Caroline County Public Schools",Black,72,66,91.7,68,94.4
2018,DIV,"Caroline County Public Schools","Economically Disadvantaged",126,115,91.3,117,92.9
2018,DIV,"Caroline County Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Caroline County Public Schools",Female,147,139,94.6,141,95.9
2018,DIV,"Caroline County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Caroline County Public Schools",Hispanic,19,18,94.7,18,94.7
2018,DIV,"Caroline County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Caroline County Public Schools",Male,154,141,91.6,141,91.6
2018,DIV,"Caroline County Public Schools","Multiple Races",22,22,100,22,100
2018,DIV,"Caroline County Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Caroline County Public Schools","Students with Disabilities",52,52,100,52,100
2018,DIV,"Caroline County Public Schools",White,180,166,92.2,166,92.2
2018,DIV,"Carroll County Public Schools","All Students",282,254,90.1,260,92.2
2018,DIV,"Carroll County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Carroll County Public Schools",Black,<,<,100,<,100
2018,DIV,"Carroll County Public Schools","Economically Disadvantaged",138,117,84.8,122,88.4
2018,DIV,"Carroll County Public Schools","English Learners",<,<,100,<,100
2018,DIV,"Carroll County Public Schools",Female,123,112,91.1,114,92.7
2018,DIV,"Carroll County Public Schools",Hispanic,13,12,92.3,12,92.3
2018,DIV,"Carroll County Public Schools",Homeless,<,<,<,<,<
2018,DIV,"Carroll County Public Schools",Male,159,142,89.3,146,91.8
2018,DIV,"Carroll County Public Schools","Military Connected",<,<,<,<,<
2018,DIV,"Carroll County Public Schools","Multiple Races",<,<,<,<,<
2018,DIV,"Carroll County Public Schools","Students with Disabilities",49,42,85.7,44,89.8
2018,DIV,"Carroll County Public Schools",White,265,239,90.2,244,92.1
2018,DIV,"Charles City County Public Schools","All Students",42,42,100,42,100
2018,DIV,"Charles City County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Charles City County Public Schools",Black,26,26,100,26,100
2018,DIV,"Charles City County Public Schools","Economically Disadvantaged",19,19,100,19,100
2018,DIV,"Charles City County Public Schools",Female,21,21,100,21,100
2018,DIV,"Charles City County Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Charles City County Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Charles City County Public Schools",Male,21,21,100,21,100
2018,DIV,"Charles City County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Charles City County Public Schools","Students with Disabilities",<,<,100,<,100
2018,DIV,"Charles City County Public Schools",White,11,11,100,11,100
2018,DIV,"Charlotte County Public Schools","All Students",136,122,89.7,127,93.4
2018,DIV,"Charlotte County Public Schools",Black,38,32,84.2,33,86.8
2018,DIV,"Charlotte County Public Schools","Economically Disadvantaged",60,48,80,52,86.7
2018,DIV,"Charlotte County Public Schools","English Learners",<,<,<,<,<
2018,DIV,"Charlotte County Public Schools",Female,62,58,93.5,58,93.5
2018,DIV,"Charlotte County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Charlotte County Public Schools",Hispanic,<,<,<,<,<
2018,DIV,"Charlotte County Public Schools",Male,74,64,86.5,69,93.2
2018,DIV,"Charlotte County Public Schools","Multiple Races",<,<,<,<,<
2018,DIV,"Charlotte County Public Schools","Students with Disabilities",11,8,72.7,9,81.8
2018,DIV,"Charlotte County Public Schools",White,92,86,93.5,89,96.7
2018,DIV,"Charlottesville City Public Schools","All Students",281,269,95.7,271,96.4
2018,DIV,"Charlottesville City Public Schools",Asian,17,16,94.1,16,94.1
2018,DIV,"Charlottesville City Public Schools",Black,98,94,95.9,94,95.9
2018,DIV,"Charlottesville City Public Schools","Economically Disadvantaged",120,113,94.2,113,94.2
2018,DIV,"Charlottesville City Public Schools","English Learners",27,22,81.5,22,81.5
2018,DIV,"Charlottesville City Public Schools",Female,142,139,97.9,140,98.6
2018,DIV,"Charlottesville City Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Charlottesville City Public Schools",Hispanic,33,30,90.9,30,90.9
2018,DIV,"Charlottesville City Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Charlottesville City Public Schools",Male,139,130,93.5,131,94.2
2018,DIV,"Charlottesville City Public Schools","Multiple Races",14,13,92.9,13,92.9
2018,DIV,"Charlottesville City Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Charlottesville City Public Schools","Students with Disabilities",43,41,95.3,41,95.3
2018,DIV,"Charlottesville City Public Schools",White,118,115,97.5,117,99.2
2018,DIV,"Chesapeake City Public Schools","All Students",3241,3040,93.8,3088,95.3
2018,DIV,"Chesapeake City Public Schools","American Indian",<,<,<,<,<
2018,DIV,"Chesapeake City Public Schools",Asian,88,88,100,88,100
2018,DIV,"Chesapeake City Public Schools",Black,1095,999,91.2,1018,93
2018,DIV,"Chesapeake City Public Schools","Economically Disadvantaged",970,858,88.5,886,91.3
2018,DIV,"Chesapeake City Public Schools","English Learners",45,35,77.8,40,88.9
2018,DIV,"Chesapeake City Public Schools",Female,1641,1566,95.4,1583,96.5
2018,DIV,"Chesapeake City Public Schools","Foster Care",<,<,<,<,<
2018,DIV,"Chesapeake City Public Schools",Hispanic,253,232,91.7,237,93.7
2018,DIV,"Chesapeake City Public Schools",Homeless,14,12,85.7,14,100
2018,DIV,"Chesapeake City Public Schools",Male,1600,1474,92.1,1505,94.1
2018,DIV,"Chesapeake City Public Schools","Military Connected",459,452,98.5,453,98.7
2018,DIV,"Chesapeake City Public Schools","Multiple Races",190,185,97.4,187,98.4
2018,DIV,"Chesapeake City Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Chesapeake City Public Schools","Students with Disabilities",453,393,86.8,399,88.1
2018,DIV,"Chesapeake City Public Schools",White,1599,1522,95.2,1544,96.6
2018,DIV,"Chesterfield County Public Schools","All Students",5078,4606,90.7,4673,92
2018,DIV,"Chesterfield County Public Schools","American Indian",10,10,100,10,100
2018,DIV,"Chesterfield County Public Schools",Asian,162,156,96.3,157,96.9
2018,DIV,"Chesterfield County Public Schools",Black,1403,1280,91.2,1293,92.2
2018,DIV,"Chesterfield County Public Schools","Economically Disadvantaged",1839,1590,86.5,1621,88.1
2018,DIV,"Chesterfield County Public Schools","English Learners",307,186,60.6,190,61.9
2018,DIV,"Chesterfield County Public Schools",Female,2391,2224,93,2252,94.2
2018,DIV,"Chesterfield County Public Schools","Foster Care",23,12,52.2,13,56.5
2018,DIV,"Chesterfield County Public Schools",Hispanic,756,580,76.7,593,78.4
2018,DIV,"Chesterfield County Public Schools",Homeless,90,67,74.4,69,76.7
2018,DIV,"Chesterfield County Public Schools",Male,2687,2382,88.6,2421,90.1
2018,DIV,"Chesterfield County Public Schools","Military Connected",14,13,92.9,13,92.9
2018,DIV,"Chesterfield County Public Schools","Multiple Races",218,207,95,211,96.8
2018,DIV,"Chesterfield County Public Schools","Native Hawaiian",<,<,100,<,100
2018,DIV,"Chesterfield County Public Schools","Students with Disabilities",569,473,83.1,487,85.6
2018,DIV,"Chesterfield County Public Schools",White,2524,2368,93.8,2404,95.2
2018,DIV,"Clarke County Public Schools","All Students",180,177,98.3,179,99.4
2018,DIV,"Clarke County Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Clarke County Public Schools",Asian,<,<,100,<,100
2018,DIV,"Clarke County Public Schools",Black,<,<,<,<,<
2018,DIV,"Clarke County Public Schools","Economically Disadvantaged",29,28,96.6,29,100
2018,DIV,"Clarke County Public Schools",Female,97,97,100,97,100
2018,DIV,"Clarke County Public Schools","Foster Care",<,<,100,<,100
2018,DIV,"Clarke County Public Schools",Hispanic,15,15,100,15,100
2018,DIV,"Clarke County Public Schools",Male,83,80,96.4,82,98.8
2018,DIV,"Clarke County Public Schools","Military Connected",<,<,100,<,100
2018,DIV,"Clarke County Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Clarke County Public Schools","Students with Disabilities",20,18,90,20,100
2018,DIV,"Clarke County Public Schools",White,151,149,98.7,150,99.3
2018,DIV,"Colonial Beach Public Schools","All Students",47,47,100,47,100
2018,DIV,"Colonial Beach Public Schools",Black,<,<,100,<,100
2018,DIV,"Colonial Beach Public Schools","Economically Disadvantaged",18,18,100,18,100
2018,DIV,"Colonial Beach Public Schools",Female,26,26,100,26,100
2018,DIV,"Colonial Beach Public Schools",Hispanic,<,<,100,<,100
2018,DIV,"Colonial Beach Public Schools",Homeless,<,<,100,<,100
2018,DIV,"Colonial Beach Public Schools",Male,21,21,100,21,100
2018,DIV,"Colonial Beach Public Schools","Multiple Races",<,<,100,<,100
2018,DIV,"Colonial Beach Public Schools","Students with Disabilities",<,<,100,<,100
2018,DIV,"Colonial Beach Public Schools",White,34,34,100,34,100
2018,DIV,"Colonial Heights City Public Schools","All Students",232,218,94,221,95.3
2018,DIV,"Colonial Heights City Public Schools","American Indian",<,<,100,<,100
2018,DIV,"Colonial Heights City Public Schools",Asian,<,<,100,<,100
