,Division,Pass Rate,Division Locale,Average 2016-2017 Salary,Student/Teacher Ratio,Percent of Inexperienced Teachers,Percent of Out-of-Field Teachers,Total Per-Pupil Expenditures,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
55,HANOVER COUNTY,83.88,Suburb,50118.965217391305,14.7,2.6,1.4,10141.0,178426911.0,347.0,9794.0
56,HARRISONBURG CITY,62.44,City,48478.875,13.77,1.3,2.2,11839.0,75829840.0,506.0,11334.0
57,HENRICO COUNTY,75.74,Suburb,49109.86567164179,17.19,3.6,0.5,9864.0,504571102.0,483.0,9382.0
58,HENRY COUNTY,75.32,Rural,43856.21142857144,15.56,7.8,1.9,9414.0,69835859.0,788.0,8627.0
59,HIGHLAND COUNTY,93.9,Rural,52062.11,8.36,6.5,22.6,18851.0,3860443.0,0.0,18851.0
60,HOPEWELL CITY,66.31,Suburb,49070.71166666667,15.42,6.6,7.2,11451.0,48655064.0,1107.0,10344.0
61,ISLE OF WIGHT COUNTY,80.22,Rural,54353.77777777778,15.02,2.5,4.8,10313.0,56769509.0,401.0,9913.0
62,KING GEORGE COUNTY,79.58,Town,50337.4,15.64,3.8,6.5,10033.0,44347536.0,308.0,9725.0
63,KING WILLIAM COUNTY,73.27,Rural,49870.75,14.77,0.0,2.9,11265.0,24706470.0,418.0,10847.0
64,KING AND QUEEN COUNTY,78.66,Rural,47320.70333333333,14.01,3.3,4.4,12962.0,10373771.0,837.0,12125.0
65,LANCASTER COUNTY,68.29,Rural,44561.0,12.17,9.4,2.4,13092.0,14736073.0,766.0,12325.0
66,LEE COUNTY,77.98,Rural,41156.2,12.16,4.7,10.0,11188.0,36135268.0,1518.0,9670.0
67,LEXINGTON CITY,86.86,Town,50675.0,13.7,2.3,2.3,10594.0,5456705.0,444.0,10150.0
68,LOUDOUN COUNTY,84.21,Suburb,65688.19264367818,14.16,3.1,2.3,14898.0,1224310437.0,219.0,14680.0
69,LOUISA COUNTY,76.93,Rural,50588.5,13.38,5.2,1.8,11395.0,55666347.0,568.0,10826.0
71,LYNCHBURG CITY,69.12,City,44604.775,13.93,5.9,2.4,11639.0,95051900.0,953.0,10686.0
72,MADISON COUNTY,70.2,Rural,46970.75,13.57,4.6,9.2,11554.0,19688001.0,526.0,11028.0
73,MANASSAS CITY,64.32,Suburb,63271.25,15.32,6.2,4.3,12751.0,98045212.0,464.0,12287.0
74,MANASSAS PARK CITY,67.12,Suburb,57994.34,14.84,7.6,1.4,10153.0,37718517.0,312.0,9841.0
75,MARTINSVILLE CITY,66.67,Town,45154.4,13.31,10.4,5.8,12405.0,24195705.0,1065.0,11340.0
76,MATHEWS COUNTY,76.68,Rural,46446.16,11.55,4.2,3.2,12267.0,12991448.0,490.0,11777.0
77,MECKLENBURG COUNTY,78.15,Rural,43637.125,12.41,3.4,7.7,11982.0,50097077.0,717.0,11266.0
78,MIDDLESEX COUNTY,70.65,Rural,45823.0,13.16,0.9,9.3,12494.0,15045184.0,712.0,11782.0
79,MONTGOMERY COUNTY,80.73,City,47064.563157894736,13.35,5.0,0.9,10644.0,105885823.0,436.0,10209.0
80,NELSON COUNTY,75.44,Rural,51017.0,12.85,3.7,0.0,13760.0,24304363.0,575.0,13185.0
81,NEW KENT COUNTY,80.3,Rural,48368.25,16.21,3.7,0.0,9534.0,31263907.0,317.0,9217.0
82,NEWPORT NEWS CITY,64.35,City,51012.03738095237,16.03,3.5,4.0,10794.0,307412391.0,773.0,10022.0
83,NORFOLK CITY,66.12,City,51026.25106382978,13.67,4.5,4.4,10540.0,314607423.0,723.0,9816.0
84,NORTHAMPTON COUNTY,65.55,Rural,41652.5,12.69,14.6,1.3,11924.0,18753412.0,958.0,10965.0
85,NORTHUMBERLAND COUNTY,76.84,Rural,48463.66666666666,12.76,5.4,3.1,12637.0,16662335.0,802.0,11835.0
86,NORTON CITY,82.9,Town,41918.93,15.28,6.8,11.9,8547.0,7118123.0,0.0,8547.0
87,NOTTOWAY COUNTY,70.91,Rural,48634.73666666666,13.62,2.9,5.2,10088.0,20397023.0,795.0,9292.0
88,ORANGE COUNTY,77.79,Town,48490.47,14.03,3.0,3.9,10167.0,50972653.0,784.0,9383.0
89,PAGE COUNTY,72.24,Rural,47296.50222222222,14.48,11.8,4.2,9964.0,33525541.0,569.0,9395.0
90,PATRICK COUNTY,84.63,Rural,42556.31714285714,13.98,1.9,4.3,9968.0,25496466.0,580.0,9388.0
91,PETERSBURG CITY,52.14,Suburb,50218.285714285725,14.14,10.4,10.1,11913.0,49058770.0,1830.0,10083.0
92,PITTSYLVANIA COUNTY,81.91,Rural,43608.5,14.11,5.6,1.7,9886.0,86644286.0,588.0,9298.0
93,POQUOSON CITY,91.05,Suburb,48263.25,13.49,0.0,0.6,10226.0,21874350.0,479.0,9746.0
94,PORTSMOUTH CITY,69.93,City,50966.66130434782,14.79,3.9,5.6,11111.0,153667661.0,833.0,10278.0
95,POWHATAN COUNTY,81.92,Rural,49446.95833333334,14.34,4.2,0.0,10767.0,46025633.0,313.0,10454.0
96,PRINCE EDWARD COUNTY,60.55,Town,43676.0,12.93,8.3,8.3,10732.0,22042468.0,643.0,10090.0
97,PRINCE GEORGE COUNTY,82.68,Rural,49653.75,15.14,4.4,5.4,9970.0,63007713.0,876.0,9094.0
98,PRINCE WILLIAM COUNTY,78.87,Suburb,63871.636483516486,16.24,3.9,4.0,10936.0,992924799.0,414.0,10522.0
99,PULASKI COUNTY,73.83,Rural,45309.125,13.92,5.6,1.2,10785.0,44073016.0,706.0,10079.0
100,RADFORD CITY,82.94,City,49076.5,13.69,3.6,1.8,10451.0,17123903.0,538.0,9913.0
101,RAPPAHANNOCK COUNTY,76.28,Rural,53516.5,11.63,1.2,3.7,14921.0,11798714.0,545.0,14376.0
102,RICHMOND CITY,56.31,City,51684.18765957444,16.02,0.2,3.1,13886.0,336328266.0,1500.0,12386.0
103,RICHMOND COUNTY,77.0,Rural,48059.0,15.37,7.1,0.0,10216.0,13165885.0,556.0,9661.0
104,ROANOKE CITY,69.28,City,49182.32333333333,15.31,3.7,1.1,12625.0,172184072.0,937.0,11687.0
105,ROANOKE COUNTY,83.77,Suburb,49164.631538461545,13.8,4.5,0.0,10275.0,143738386.0,344.0,9930.0
106,ROCKBRIDGE COUNTY,79.04,Town,45722.16666666666,12.82,2.4,3.6,11409.0,31861440.0,652.0,10757.0
107,ROCKINGHAM COUNTY,75.79,Rural,46878.48,14.64,3.3,2.1,10914.0,129456666.0,484.0,10430.0
108,RUSSELL COUNTY,83.09,Rural,40288.27583333333,14.31,7.5,2.4,10135.0,38106834.0,876.0,9259.0
109,SALEM CITY,80.66,Suburb,53873.52333333334,15.5,1.6,7.9,10388.0,40905457.0,351.0,10037.0
110,SCOTT COUNTY,85.49,Suburb,43645.07692307692,14.45,4.4,7.2,9994.0,35122876.0,753.0,9242.0
111,SHENANDOAH COUNTY,67.12,Town,48099.33333333334,13.75,4.7,3.3,11071.0,66062582.0,556.0,10515.0
112,SMYTH COUNTY,77.24,Rural,43960.82230769232,13.93,4.6,8.8,9932.0,42838670.0,710.0,9222.0
113,SOUTHAMPTON COUNTY,80.19,Rural,46156.66666666666,16.0,4.1,18.9,10221.0,29061255.0,535.0,9686.0
114,SPOTSYLVANIA COUNTY,74.89,Rural,52823.838965517236,16.47,7.2,6.2,10875.0,255536798.0,393.0,10482.0
115,STAFFORD COUNTY,79.18,Suburb,54621.5,17.14,8.7,11.7,9946.0,291827369.0,375.0,9572.0
116,STAUNTON CITY,73.06,City,45800.66666666666,13.15,5.4,3.9,10819.0,29234953.0,284.0,10536.0
117,SUFFOLK CITY,76.85,Suburb,51554.953888888886,14.36,2.1,1.9,10278.0,146428199.0,555.0,9724.0
118,SURRY COUNTY,77.6,Rural,52535.0,8.78,1.1,5.4,20055.0,15078069.0,921.0,19134.0
119,SUSSEX COUNTY,77.38,Rural,49325.66666666666,13.04,4.6,4.6,16514.0,17495537.0,1348.0,15165.0
120,TAZEWELL COUNTY,83.6,Town,43034.23066666667,15.38,4.8,5.0,8953.0,49839989.0,556.0,8396.0
121,VIRGINIA BEACH CITY,84.91,City,55037.451341463406,15.89,4.7,0.9,11327.0,773545649.0,653.0,10674.0
122,WARREN COUNTY,74.15,Town,47371.25,14.43,5.2,1.1,10529.0,55608212.0,504.0,10025.0
123,WASHINGTON COUNTY,85.98,Rural,45530.06666666666,14.2,2.1,1.8,10323.0,72915453.0,562.0,9762.0
124,WAYNESBORO CITY,66.9,City,46420.0,14.59,7.0,1.7,11143.0,33114961.0,677.0,10467.0
125,WEST POINT,92.05,Town,53161.0,12.7,1.4,14.3,12205.0,9951864.0,308.0,11897.0
126,WESTMORELAND COUNTY,70.25,Rural,47279.0,12.32,2.1,6.3,13074.0,21226339.0,852.0,12222.0
127,WILLIAMSBURG-JAMES CITY COUNTY,80.88,Suburb,51418.51199999999,15.8,1.0,0.3,11943.0,138236090.0,344.0,11599.0
128,WINCHESTER CITY,67.43,City,50305.44833333333,12.82,3.1,5.3,12873.0,55850515.0,762.0,12110.0
129,WISE COUNTY,85.59,Town,45818.4325,14.73,5.7,0.0,9032.0,51142060.0,324.0,8708.0
130,WYTHE COUNTY,85.2,Rural,45628.91666666666,14.85,4.4,4.7,10247.0,41352273.0,457.0,9790.0
131,YORK COUNTY,87.91,Suburb,51287.95105263158,15.11,0.6,2.8,10111.0,130415681.0,997.0,9114.0
