"Chronic Absenteeism"
3/17/2022

Year,Level,Division,Subgroup,"Count Below 10","Count Above 10","Percent Below 10","Percent above 10"
"2018 - 2019",DIV,"Amherst County Public Schools",Asian,23,3,88.5,11.5
"2018 - 2019",DIV,"Amherst County Public Schools",Black,678,92,88.1,11.9
"2018 - 2019",DIV,"Amherst County Public Schools","Economically Disadvantaged",1862,436,81,19
"2018 - 2019",DIV,"Amherst County Public Schools","English Learners",33,4,89.2,10.8
"2018 - 2019",DIV,"Amherst County Public Schools",Female,1680,246,87.2,12.8
"2018 - 2019",DIV,"Amherst County Public Schools",Hispanic,129,25,83.8,16.2
"2018 - 2019",DIV,"Amherst County Public Schools",Homeless,46,24,,
"2018 - 2019",DIV,"Amherst County Public Schools",Male,1773,278,86.4,13.6
"2018 - 2019",DIV,"Amherst County Public Schools","Multiple Races",267,60,81.7,18.3
"2018 - 2019",DIV,"Amherst County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Amherst County Public Schools","Students with Disabilities",447,84,84.2,15.8
"2018 - 2019",DIV,"Amherst County Public Schools",White,2328,337,87.4,12.6
"2018 - 2019",DIV,"Appomattox County Public Schools","All Students",1971,197,90.9,9.1
"2018 - 2019",DIV,"Appomattox County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Appomattox County Public Schools",Black,437,52,89.4,10.6
"2018 - 2019",DIV,"Appomattox County Public Schools","Economically Disadvantaged",989,153,86.6,13.4
"2018 - 2019",DIV,"Appomattox County Public Schools","English Learners",15,0,100,0
"2018 - 2019",DIV,"Appomattox County Public Schools",Female,974,86,91.9,8.1
"2018 - 2019",DIV,"Appomattox County Public Schools",Hispanic,60,3,95.2,4.8
"2018 - 2019",DIV,"Appomattox County Public Schools",Homeless,12,2,,
"2018 - 2019",DIV,"Appomattox County Public Schools",Male,997,111,90,10
"2018 - 2019",DIV,"Appomattox County Public Schools","Multiple Races",164,20,89.1,10.9
"2018 - 2019",DIV,"Appomattox County Public Schools","Students with Disabilities",185,33,84.9,15.1
"2018 - 2019",DIV,"Appomattox County Public Schools",White,1303,122,91.4,8.6
"2018 - 2019",DIV,"Arlington County Public Schools","All Students",24596,1923,92.7,7.3
"2018 - 2019",DIV,"Arlington County Public Schools","American Indian",63,6,,
"2018 - 2019",DIV,"Arlington County Public Schools",Asian,2205,164,93.1,6.9
"2018 - 2019",DIV,"Arlington County Public Schools",Black,2367,218,91.6,8.4
"2018 - 2019",DIV,"Arlington County Public Schools","Economically Disadvantaged",7215,898,88.9,11.1
"2018 - 2019",DIV,"Arlington County Public Schools","English Learners",6924,912,88.4,11.6
"2018 - 2019",DIV,"Arlington County Public Schools",Female,11978,904,93,7
"2018 - 2019",DIV,"Arlington County Public Schools",Hispanic,6420,949,87.1,12.9
"2018 - 2019",DIV,"Arlington County Public Schools",Homeless,107,37,,
"2018 - 2019",DIV,"Arlington County Public Schools",Male,12618,1019,92.5,7.5
"2018 - 2019",DIV,"Arlington County Public Schools","Multiple Races",1624,82,95.2,4.8
"2018 - 2019",DIV,"Arlington County Public Schools","Native Hawaiian",19,1,,
"2018 - 2019",DIV,"Arlington County Public Schools","Students with Disabilities",3476,454,88.4,11.6
"2018 - 2019",DIV,"Arlington County Public Schools",White,11898,503,95.9,4.1
"2018 - 2019",DIV,"Augusta County Public Schools","All Students",9062,920,90.8,9.2
"2018 - 2019",DIV,"Augusta County Public Schools","American Indian",22,2,,
"2018 - 2019",DIV,"Augusta County Public Schools",Asian,91,8,91.9,8.1
"2018 - 2019",DIV,"Augusta County Public Schools",Black,236,32,88.1,11.9
"2018 - 2019",DIV,"Augusta County Public Schools","Economically Disadvantaged",3410,638,84.2,15.8
"2018 - 2019",DIV,"Augusta County Public Schools","English Learners",226,24,90.4,9.6
"2018 - 2019",DIV,"Augusta County Public Schools",Female,4371,430,91,9
"2018 - 2019",DIV,"Augusta County Public Schools",Hispanic,508,44,92,8
"2018 - 2019",DIV,"Augusta County Public Schools",Homeless,68,53,,
"2018 - 2019",DIV,"Augusta County Public Schools",Male,4691,490,90.5,9.5
"2018 - 2019",DIV,"Augusta County Public Schools","Multiple Races",326,45,87.9,12.1
"2018 - 2019",DIV,"Augusta County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Augusta County Public Schools","Students with Disabilities",729,128,85.1,14.9
"2018 - 2019",DIV,"Augusta County Public Schools",White,7872,788,90.9,9.1
"2018 - 2019",DIV,"Bath County Public Schools","All Students",476,44,91.5,8.5
"2018 - 2019",DIV,"Bath County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Bath County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Bath County Public Schools",Black,16,0,100,0
"2018 - 2019",DIV,"Bath County Public Schools","Economically Disadvantaged",239,37,86.6,13.4
"2018 - 2019",DIV,"Bath County Public Schools","English Learners",<,<,100,0
"2018 - 2019",DIV,"Bath County Public Schools",Female,240,22,91.6,8.4
"2018 - 2019",DIV,"Bath County Public Schools",Hispanic,9,1,90,10
"2018 - 2019",DIV,"Bath County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Bath County Public Schools",Male,236,22,91.5,8.5
"2018 - 2019",DIV,"Bath County Public Schools","Multiple Races",13,3,81.3,18.7
"2018 - 2019",DIV,"Bath County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Bath County Public Schools","Students with Disabilities",69,16,81.2,18.8
"2018 - 2019",DIV,"Bath County Public Schools",White,432,40,91.5,8.5
"2018 - 2019",DIV,"Bedford County Public Schools","All Students",8662,779,91.7,8.3
"2018 - 2019",DIV,"Bedford County Public Schools","American Indian",23,3,,
"2018 - 2019",DIV,"Bedford County Public Schools",Asian,186,5,97.4,2.6
"2018 - 2019",DIV,"Bedford County Public Schools",Black,706,48,93.6,6.4
"2018 - 2019",DIV,"Bedford County Public Schools","Economically Disadvantaged",3077,497,86.1,13.9
"2018 - 2019",DIV,"Bedford County Public Schools","English Learners",163,8,95.3,4.7
"2018 - 2019",DIV,"Bedford County Public Schools",Female,4127,386,91.4,8.6
"2018 - 2019",DIV,"Bedford County Public Schools",Hispanic,336,28,92.3,7.7
"2018 - 2019",DIV,"Bedford County Public Schools",Homeless,30,13,,
"2018 - 2019",DIV,"Bedford County Public Schools",Male,4535,393,92,8
"2018 - 2019",DIV,"Bedford County Public Schools","Multiple Races",391,36,91.6,8.4
"2018 - 2019",DIV,"Bedford County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Bedford County Public Schools","Students with Disabilities",892,133,87,13
"2018 - 2019",DIV,"Bedford County Public Schools",White,7014,659,91.4,8.6
"2018 - 2019",DIV,"Bland County Public Schools","All Students",604,113,84.2,15.8
"2018 - 2019",DIV,"Bland County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Bland County Public Schools",Black,<,<,100,0
"2018 - 2019",DIV,"Bland County Public Schools","Economically Disadvantaged",250,74,77.2,22.8
"2018 - 2019",DIV,"Bland County Public Schools","English Learners",<,<,100,0
"2018 - 2019",DIV,"Bland County Public Schools",Female,282,51,84.7,15.3
"2018 - 2019",DIV,"Bland County Public Schools",Hispanic,<,<,66.7,33.3
"2018 - 2019",DIV,"Bland County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Bland County Public Schools",Male,322,62,83.9,16.1
"2018 - 2019",DIV,"Bland County Public Schools","Multiple Races",14,3,82.4,17.6
"2018 - 2019",DIV,"Bland County Public Schools","Students with Disabilities",96,24,80,20
"2018 - 2019",DIV,"Bland County Public Schools",White,583,107,84.5,15.5
"2018 - 2019",DIV,"Botetourt County Public Schools","All Students",4301,279,93.9,6.1
"2018 - 2019",DIV,"Botetourt County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Botetourt County Public Schools",Asian,35,0,100,0
"2018 - 2019",DIV,"Botetourt County Public Schools",Black,94,4,95.9,4.1
"2018 - 2019",DIV,"Botetourt County Public Schools","Economically Disadvantaged",1098,160,87.3,12.7
"2018 - 2019",DIV,"Botetourt County Public Schools","English Learners",95,2,97.9,2.1
"2018 - 2019",DIV,"Botetourt County Public Schools",Female,2075,139,93.7,6.3
"2018 - 2019",DIV,"Botetourt County Public Schools",Hispanic,192,12,94.1,5.9
"2018 - 2019",DIV,"Botetourt County Public Schools",Homeless,4,6,,
"2018 - 2019",DIV,"Botetourt County Public Schools",Male,2226,140,94.1,5.9
"2018 - 2019",DIV,"Botetourt County Public Schools","Multiple Races",183,14,92.9,7.1
"2018 - 2019",DIV,"Botetourt County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Botetourt County Public Schools","Students with Disabilities",540,64,89.4,10.6
"2018 - 2019",DIV,"Botetourt County Public Schools",White,3787,247,93.9,6.1
"2018 - 2019",DIV,"Bristol City Public Schools","All Students",1728,399,81.2,18.8
"2018 - 2019",DIV,"Bristol City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Bristol City Public Schools",Asian,8,2,80,20
"2018 - 2019",DIV,"Bristol City Public Schools",Black,79,28,73.8,26.2
"2018 - 2019",DIV,"Bristol City Public Schools","Economically Disadvantaged",1011,340,74.8,25.2
"2018 - 2019",DIV,"Bristol City Public Schools","English Learners",29,2,93.5,6.5
"2018 - 2019",DIV,"Bristol City Public Schools",Female,870,200,81.3,18.7
"2018 - 2019",DIV,"Bristol City Public Schools",Hispanic,61,15,80.3,19.7
"2018 - 2019",DIV,"Bristol City Public Schools",Homeless,33,22,,
"2018 - 2019",DIV,"Bristol City Public Schools",Male,858,199,81.2,18.8
"2018 - 2019",DIV,"Bristol City Public Schools","Multiple Races",104,42,71.2,28.8
"2018 - 2019",DIV,"Bristol City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Bristol City Public Schools","Students with Disabilities",296,68,81.3,18.7
"2018 - 2019",DIV,"Bristol City Public Schools",White,1473,311,82.6,17.4
"2018 - 2019",DIV,"Brunswick County Public Schools","All Students",1351,205,86.8,13.2
"2018 - 2019",DIV,"Brunswick County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Brunswick County Public Schools",Asian,<,<,80,20
"2018 - 2019",DIV,"Brunswick County Public Schools",Black,1009,159,86.4,13.6
"2018 - 2019",DIV,"Brunswick County Public Schools","Economically Disadvantaged",859,137,86.2,13.8
"2018 - 2019",DIV,"Brunswick County Public Schools","English Learners",40,2,95.2,4.8
"2018 - 2019",DIV,"Brunswick County Public Schools",Female,672,83,89,11
"2018 - 2019",DIV,"Brunswick County Public Schools",Hispanic,63,3,95.5,4.5
"2018 - 2019",DIV,"Brunswick County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Brunswick County Public Schools",Male,679,122,84.8,15.2
"2018 - 2019",DIV,"Brunswick County Public Schools","Multiple Races",27,9,75,25
"2018 - 2019",DIV,"Brunswick County Public Schools","Students with Disabilities",153,31,83.2,16.8
"2018 - 2019",DIV,"Brunswick County Public Schools",White,245,33,88.1,11.9
"2018 - 2019",DIV,"Buchanan County Public Schools","All Students",2254,377,85.7,14.3
"2018 - 2019",DIV,"Buchanan County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Buchanan County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Buchanan County Public Schools",Black,<,<,71.4,28.6
"2018 - 2019",DIV,"Buchanan County Public Schools","Economically Disadvantaged",1280,264,82.9,17.1
"2018 - 2019",DIV,"Buchanan County Public Schools","English Learners",<,<,75,25
"2018 - 2019",DIV,"Buchanan County Public Schools",Female,1095,178,86,14
"2018 - 2019",DIV,"Buchanan County Public Schools",Hispanic,<,<,77.8,22.2
"2018 - 2019",DIV,"Buchanan County Public Schools",Male,1159,199,85.3,14.7
"2018 - 2019",DIV,"Buchanan County Public Schools","Multiple Races",<,<,60,40
"2018 - 2019",DIV,"Buchanan County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Buchanan County Public Schools","Students with Disabilities",387,71,84.5,15.5
"2018 - 2019",DIV,"Buchanan County Public Schools",White,2235,371,85.8,14.2
"2018 - 2019",DIV,"Buckingham County Public Schools","All Students",1652,343,82.8,17.2
"2018 - 2019",DIV,"Buckingham County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Buckingham County Public Schools",Asian,<,<,40,60
"2018 - 2019",DIV,"Buckingham County Public Schools",Black,609,83,88,12
"2018 - 2019",DIV,"Buckingham County Public Schools","Economically Disadvantaged",914,264,77.6,22.4
"2018 - 2019",DIV,"Buckingham County Public Schools","English Learners",<,<,50,50
"2018 - 2019",DIV,"Buckingham County Public Schools",Female,836,142,85.5,14.5
"2018 - 2019",DIV,"Buckingham County Public Schools",Hispanic,57,16,78.1,21.9
"2018 - 2019",DIV,"Buckingham County Public Schools",Homeless,21,9,,
"2018 - 2019",DIV,"Buckingham County Public Schools",Male,816,201,80.2,19.8
"2018 - 2019",DIV,"Buckingham County Public Schools","Multiple Races",119,43,73.5,26.5
"2018 - 2019",DIV,"Buckingham County Public Schools","Students with Disabilities",189,76,71.3,28.7
"2018 - 2019",DIV,"Buckingham County Public Schools",White,864,197,81.4,18.6
"2018 - 2019",DIV,"Buena Vista City Public Schools","All Students",791,79,90.9,9.1
"2018 - 2019",DIV,"Buena Vista City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Buena Vista City Public Schools",Black,48,1,98,2
"2018 - 2019",DIV,"Buena Vista City Public Schools","Economically Disadvantaged",333,49,87.2,12.8
"2018 - 2019",DIV,"Buena Vista City Public Schools","English Learners",<,<,100,0
"2018 - 2019",DIV,"Buena Vista City Public Schools",Female,372,43,89.6,10.4
"2018 - 2019",DIV,"Buena Vista City Public Schools",Hispanic,14,2,87.5,12.5
"2018 - 2019",DIV,"Buena Vista City Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Buena Vista City Public Schools",Male,419,36,92.1,7.9
"2018 - 2019",DIV,"Buena Vista City Public Schools","Multiple Races",28,5,84.8,15.2
"2018 - 2019",DIV,"Buena Vista City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Buena Vista City Public Schools","Students with Disabilities",122,25,83,17
"2018 - 2019",DIV,"Buena Vista City Public Schools",White,692,70,90.8,9.2
"2018 - 2019",DIV,"Campbell County Public Schools","All Students",6943,699,90.9,9.1
"2018 - 2019",DIV,"Campbell County Public Schools","American Indian",30,3,,
"2018 - 2019",DIV,"Campbell County Public Schools",Asian,97,3,97,3
"2018 - 2019",DIV,"Campbell County Public Schools",Black,1062,99,91.5,8.5
"2018 - 2019",DIV,"Campbell County Public Schools","Economically Disadvantaged",3102,513,85.8,14.2
"2018 - 2019",DIV,"Campbell County Public Schools","English Learners",230,12,95,5
"2018 - 2019",DIV,"Campbell County Public Schools",Female,3369,340,90.8,9.2
"2018 - 2019",DIV,"Campbell County Public Schools",Hispanic,318,24,93,7
"2018 - 2019",DIV,"Campbell County Public Schools",Homeless,40,14,,
"2018 - 2019",DIV,"Campbell County Public Schools",Male,3574,359,90.9,9.1
"2018 - 2019",DIV,"Campbell County Public Schools","Multiple Races",383,52,88,12
"2018 - 2019",DIV,"Campbell County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Campbell County Public Schools","Students with Disabilities",818,120,87.2,12.8
"2018 - 2019",DIV,"Campbell County Public Schools",White,5049,515,90.7,9.3
"2018 - 2019",DIV,"Caroline County Public Schools","All Students",3363,727,82.2,17.8
"2018 - 2019",DIV,"Caroline County Public Schools","American Indian",14,2,,
"2018 - 2019",DIV,"Caroline County Public Schools",Asian,26,1,96.3,3.7
"2018 - 2019",DIV,"Caroline County Public Schools",Black,911,190,82.7,17.3
"2018 - 2019",DIV,"Caroline County Public Schools","Economically Disadvantaged",1610,514,75.8,24.2
"2018 - 2019",DIV,"Caroline County Public Schools","English Learners",113,18,86.3,13.7
"2018 - 2019",DIV,"Caroline County Public Schools",Female,1622,351,82.2,17.8
"2018 - 2019",DIV,"Caroline County Public Schools",Hispanic,280,65,81.2,18.8
"2018 - 2019",DIV,"Caroline County Public Schools",Homeless,40,47,,
"2018 - 2019",DIV,"Caroline County Public Schools",Male,1741,376,82.2,17.8
"2018 - 2019",DIV,"Caroline County Public Schools","Multiple Races",312,70,81.7,18.3
"2018 - 2019",DIV,"Caroline County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Caroline County Public Schools","Students with Disabilities",380,128,74.8,25.2
"2018 - 2019",DIV,"Caroline County Public Schools",White,1816,397,82.1,17.9
"2018 - 2019",DIV,"Carroll County Public Schools","All Students",3279,302,91.6,8.4
"2018 - 2019",DIV,"Carroll County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Carroll County Public Schools",Asian,11,0,100,0
"2018 - 2019",DIV,"Carroll County Public Schools",Black,23,1,95.8,4.2
"2018 - 2019",DIV,"Carroll County Public Schools","Economically Disadvantaged",1915,252,88.4,11.6
"2018 - 2019",DIV,"Carroll County Public Schools","English Learners",151,6,96.2,3.8
"2018 - 2019",DIV,"Carroll County Public Schools",Female,1596,144,91.7,8.3
"2018 - 2019",DIV,"Carroll County Public Schools",Hispanic,239,19,92.6,7.4
"2018 - 2019",DIV,"Carroll County Public Schools",Homeless,39,9,,
"2018 - 2019",DIV,"Carroll County Public Schools",Male,1683,158,91.4,8.6
"2018 - 2019",DIV,"Carroll County Public Schools","Multiple Races",37,6,86,14
"2018 - 2019",DIV,"Carroll County Public Schools","Students with Disabilities",536,82,86.7,13.3
"2018 - 2019",DIV,"Carroll County Public Schools",White,2962,275,91.5,8.5
"2018 - 2019",DIV,"Charles City County Public Schools","All Students",490,113,81.3,18.7
"2018 - 2019",DIV,"Charles City County Public Schools","American Indian",28,8,,
"2018 - 2019",DIV,"Charles City County Public Schools",Black,262,53,83.2,16.8
"2018 - 2019",DIV,"Charles City County Public Schools","Economically Disadvantaged",295,86,77.4,22.6
"2018 - 2019",DIV,"Charles City County Public Schools","English Learners",<,<,100,0
"2018 - 2019",DIV,"Charles City County Public Schools",Female,239,54,81.6,18.4
"2018 - 2019",DIV,"Charles City County Public Schools",Hispanic,<,<,88.9,11.1
"2018 - 2019",DIV,"Charles City County Public Schools",Homeless,7,7,,
"2018 - 2019",DIV,"Charles City County Public Schools",Male,251,59,81,19
"2018 - 2019",DIV,"Charles City County Public Schools","Multiple Races",29,10,74.4,25.6
"2018 - 2019",DIV,"Charles City County Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Charles City County Public Schools","Students with Disabilities",81,28,74.3,25.7
"2018 - 2019",DIV,"Charles City County Public Schools",White,160,41,79.6,20.4
"2018 - 2019",DIV,"Charlotte County Public Schools","All Students",1479,275,84.3,15.7
"2018 - 2019",DIV,"Charlotte County Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Charlotte County Public Schools",Asian,<,<,100,0
"2018 - 2019",DIV,"Charlotte County Public Schools",Black,405,76,84.2,15.8
"2018 - 2019",DIV,"Charlotte County Public Schools","Economically Disadvantaged",791,200,79.8,20.2
"2018 - 2019",DIV,"Charlotte County Public Schools","English Learners",14,1,93.3,6.7
"2018 - 2019",DIV,"Charlotte County Public Schools",Female,711,145,83.1,16.9
"2018 - 2019",DIV,"Charlotte County Public Schools",Hispanic,31,8,79.5,20.5
"2018 - 2019",DIV,"Charlotte County Public Schools",Homeless,<,<,,
"2018 - 2019",DIV,"Charlotte County Public Schools",Male,768,130,85.5,14.5
"2018 - 2019",DIV,"Charlotte County Public Schools","Multiple Races",90,20,81.8,18.2
"2018 - 2019",DIV,"Charlotte County Public Schools","Students with Disabilities",204,55,78.8,21.2
"2018 - 2019",DIV,"Charlotte County Public Schools",White,944,171,84.7,15.3
"2018 - 2019",DIV,"Charlottesville City Public Schools","All Students",3938,352,91.8,8.2
"2018 - 2019",DIV,"Charlottesville City Public Schools","American Indian",<,<,,
"2018 - 2019",DIV,"Charlottesville City Public Schools",Asian,255,14,94.8,5.2
"2018 - 2019",DIV,"Charlottesville City Public Schools",Black,1189,168,87.6,12.4
"2018 - 2019",DIV,"Charlottesville City Public Schools","Economically Disadvantaged",1724,270,86.5,13.5
"2018 - 2019",DIV,"Charlottesville City Public Schools","English Learners",587,45,92.9,7.1
"2018 - 2019",DIV,"Charlottesville City Public Schools",Female,1925,152,92.7,7.3
"2018 - 2019",DIV,"Charlottesville City Public Schools",Hispanic,468,42,91.8,8.2
"2018 - 2019",DIV,"Charlottesville City Public Schools",Homeless,57,19,,
"2018 - 2019",DIV,"Charlottesville City Public Schools",Male,2013,200,91,9
"2018 - 2019",DIV,"Charlottesville City Public Schools","Multiple Races",291,31,90.4,9.6
"2018 - 2019",DIV,"Charlottesville City Public Schools","Native Hawaiian",<,<,,
"2018 - 2019",DIV,"Charlottesville City Public Schools","Students with Disabilities",492,95,83.8,16.2
"2018 - 2019",DIV,"Charlottesville City Public Schools",White,1732,96,94.7,5.3
"2018 - 2019",DIV,"Chesapeake City Public Schools","All Students",37246,2755,93.1,6.9
"2018 - 2019",DIV,"Chesapeake City Public Schools","American Indian",96,18,,
"2018 - 2019",DIV,"Chesapeake City Public Schools",Asian,1084,37,96.7,3.3
"2018 - 2019",DIV,"Chesapeake City Public Schools",Black,11947,1025,92.1,7.9
"2018 - 2019",DIV,"Chesapeake City Public Schools","Economically Disadvantaged",12847,1724,88.2,11.8
"2018 - 2019",DIV,"Chesapeake City Public Schools","English Learners",1308,107,92.4,7.6
"2018 - 2019",DIV,"Chesapeake City Public Schools",Female,18252,1266,93.5,6.5
"2018 - 2019",DIV,"Chesapeake City Public Schools",Hispanic,3636,294,92.5,7.5
"2018 - 2019",DIV,"Chesapeake City Public Schools",Homeless,91,46,,
"2018 - 2019",DIV,"Chesapeake City Public Schools",Male,18994,1489,92.7,7.3
"2018 - 2019",DIV,"Chesapeake City Public Schools","Multiple Races",2758,203,93.1,6.9
"2018 - 2019",DIV,"Chesapeake City Public Schools","Native Hawaiian",70,6,,
