"School Year","Division Number","Division Name","School Number","School Name","Subject","Test Source","Pass Rate"
"2020-2021","29","Fairfax County","1390","Mosby Woods Elementary","Mathematics","SOL","82.80"
"2020-2021","29","Fairfax County","510","Mount Eagle Elementary","Mathematics","SOL","11.32"
"2020-2021","29","Fairfax County","420","Mount Vernon High","Mathematics","SOL","38.99"
"2020-2021","29","Fairfax County","1640","Mount Vernon Woods Elementary","Mathematics","SOL","17.86"
"2020-2021","29","Fairfax County","2211","Mountain View High","Mathematics","SOL","30.30"
"2020-2021","29","Fairfax County","800","Navy Elementary","Mathematics","SOL","87.47"
"2020-2021","29","Fairfax County","470","Newington Forest Elementary","Mathematics","SOL","50.00"
"2020-2021","29","Fairfax County","930","North Springfield Elementary","Mathematics","SOL","47.28"
"2020-2021","29","Fairfax County","430","Oak Hill Elementary","Mathematics","SOL","88.14"
"2020-2021","29","Fairfax County","1860","Oak View Elementary","Mathematics","SOL","78.13"
"2020-2021","29","Fairfax County","140","Oakton Elementary","Mathematics","SOL","77.86"
"2020-2021","29","Fairfax County","1710","Oakton High","Mathematics","SOL","75.63"
"2020-2021","29","Fairfax County","1650","Olde Creek Elementary","Mathematics","SOL","57.99"
"2020-2021","29","Fairfax County","150","Orange Hunt Elementary","Mathematics","SOL","62.77"
"2020-2021","29","Fairfax County","1030","Parklawn Elementary","Mathematics","SOL","25.10"
"2020-2021","29","Fairfax County","820","Pine Spring Elementary","Mathematics","SOL","32.86"
"2020-2021","29","Fairfax County","1130","Poe Middle","Mathematics","SOL","23.87"
"2020-2021","29","Fairfax County","2080","Poplar Tree Elementary","Mathematics","SOL","92.07"
"2020-2021","29","Fairfax County","2237","Powell Elementary","Mathematics","SOL","71.49"
"2020-2021","29","Fairfax County","2230","Providence Elementary","Mathematics","SOL","50.00"
"2020-2021","29","Fairfax County","1310","Ravensworth Elementary","Mathematics","SOL","64.50"
"2020-2021","29","Fairfax County","1820","Riverside Elementary","Mathematics","SOL","30.86"
"2020-2021","29","Fairfax County","1960","Robinson Secondary","Mathematics","SOL","65.37"
"2020-2021","29","Fairfax County","300","Rocky Run Middle","Mathematics","SOL","85.09"
"2020-2021","29","Fairfax County","1770","Rolling Valley Elementary","Mathematics","SOL","59.77"
"2020-2021","29","Fairfax County","950","Rose Hill Elementary","Mathematics","SOL","37.85"
"2020-2021","29","Fairfax County","1300","Sandburg Middle","Mathematics","SOL","51.28"
"2020-2021","29","Fairfax County","2030","Sangster Elementary","Mathematics","SOL","88.99"
"2020-2021","29","Fairfax County","2040","Saratoga Elementary","Mathematics","SOL","51.39"
"2020-2021","29","Fairfax County","80","Sherman Elementary","Mathematics","SOL","81.88"
"2020-2021","29","Fairfax County","1660","Shrevewood Elementary","Mathematics","SOL","80.90"
"2020-2021","29","Fairfax County","1680","Silverbrook Elementary","Mathematics","SOL","83.11"
"2020-2021","29","Fairfax County","710","Sleepy Hollow Elementary","Mathematics","SOL","42.11"
"2020-2021","29","Fairfax County","2241","South County High","Mathematics","SOL","69.93"
"2020-2021","29","Fairfax County","2420","South County Middle","Mathematics","SOL","65.75"
"2020-2021","29","Fairfax County","1990","South Lakes High","Mathematics","SOL","49.27"
"2020-2021","29","Fairfax County","1620","Spring Hill Elementary","Mathematics","SOL","85.87"
"2020-2021","29","Fairfax County","960","Springfield Estates Elementary","Mathematics","SOL","78.65"
"2020-2021","29","Fairfax County","1380","Stenwood Elementary","Mathematics","SOL","74.20"
"2020-2021","29","Fairfax County","2070","Stone Middle","Mathematics","SOL","51.67"
"2020-2021","29","Fairfax County","1350","Stratford Landing Elementary","Mathematics","SOL","68.04"
"2020-2021","29","Fairfax County","280","Sunrise Valley Elementary","Mathematics","SOL","76.74"
"2020-2021","29","Fairfax County","170","Terra Centre Elementary","Mathematics","SOL","67.87"
"2020-2021","29","Fairfax County","250","Terraset Elementary","Mathematics","SOL","68.46"
"2020-2021","29","Fairfax County","1371","Thomas Jefferson High for Science and Technology","Mathematics","SOL","100.00"
"2020-2021","29","Fairfax County","1140","Thoreau Middle","Mathematics","SOL","75.00"
"2020-2021","29","Fairfax County","830","Timber Lane Elementary","Mathematics","SOL","48.94"
"2020-2021","29","Fairfax County","1160","Twain Middle","Mathematics","SOL","56.24"
"2020-2021","29","Fairfax County","1540","Union Mill Elementary","Mathematics","SOL","68.19"
"2020-2021","29","Fairfax County","120","Vienna Elementary","Mathematics","SOL","74.18"
"2020-2021","29","Fairfax County","2050","Virginia Run Elementary","Mathematics","SOL","45.79"
"2020-2021","29","Fairfax County","850","Wakefield Forest Elementary","Mathematics","SOL","76.64"
"2020-2021","29","Fairfax County","2100","Waples Mill Elementary","Mathematics","SOL","65.14"
"2020-2021","29","Fairfax County","1320","Washington Mill Elementary","Mathematics","SOL","31.96"
"2020-2021","29","Fairfax County","1080","Waynewood Elementary","Mathematics","SOL","77.27"
"2020-2021","29","Fairfax County","900","West Potomac High","Mathematics","SOL","53.69"
"2020-2021","29","Fairfax County","1430","West Springfield Elementary","Mathematics","SOL","74.06"
"2020-2021","29","Fairfax County","1610","West Springfield High","Mathematics","SOL","74.35"
"2020-2021","29","Fairfax County","1580","Westbriar Elementary","Mathematics","SOL","89.08"
"2020-2021","29","Fairfax County","2228","Westfield High","Mathematics","SOL","46.23"
"2020-2021","29","Fairfax County","1670","Westgate Elementary","Mathematics","SOL","58.15"
"2020-2021","29","Fairfax County","580","Westlawn Elementary","Mathematics","SOL","28.86"
"2020-2021","29","Fairfax County","520","Weyanoke Elementary","Mathematics","SOL","11.42"
"2020-2021","29","Fairfax County","400","White Oaks Elementary","Mathematics","SOL","68.09"
"2020-2021","29","Fairfax County","1550","Whitman Middle","Mathematics","SOL","24.86"
"2020-2021","29","Fairfax County","2060","Willow Springs Elementary","Mathematics","SOL","80.55"
"2020-2021","29","Fairfax County","1810","Wolftrap Elementary","Mathematics","SOL","89.70"
"2020-2021","29","Fairfax County","650","Woodburn Elementary","Mathematics","SOL","30.49"
"2020-2021","29","Fairfax County","380","Woodlawn Elementary","Mathematics","SOL","17.00"
"2020-2021","29","Fairfax County","590","Woodley Hills Elementary","Mathematics","SOL","14.21"
"2020-2021","29","Fairfax County","1260","Woodson High","Mathematics","SOL","65.00"
