"School Year","Division Number","Division Name","Subject","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate"
"2018-2019","75","Prince William County","English:Reading","English Reading","7,488","30,544","10,189","38,032","48,221","15.53","63.34","21.13","78.87"
"2018-2019","77","Pulaski County","English:Reading","English Reading","242","1,329","557","1,571","2,128","11.37","62.45","26.17","73.83"
"2018-2019","122","Radford City","English:Reading","English Reading","154","575","150","729","879","17.52","65.42","17.06","82.94"
"2018-2019","78","Rappahannock County","English:Reading","English Reading","63","249","97","312","409","15.40","60.88","23.72","76.28"
"2018-2019","123","Richmond City","English:Reading","English Reading","1,034","5,757","5,269","6,791","12,060","8.57","47.74","43.69","56.31"
"2018-2019","79","Richmond County","English:Reading","English Reading","84","445","158","529","687","12.23","64.77","23.00","77.00"
"2018-2019","124","Roanoke City","English:Reading","English Reading","882","3,924","2,131","4,806","6,937","12.71","56.57","30.72","69.28"
"2018-2019","80","Roanoke County","English:Reading","English Reading","1,377","4,966","1,229","6,343","7,572","18.19","65.58","16.23","83.77"
"2018-2019","81","Rockbridge County","English:Reading","English Reading","207","932","302","1,139","1,441","14.37","64.68","20.96","79.04"
"2018-2019","82","Rockingham County","English:Reading","English Reading","817","3,930","1,516","4,747","6,263","13.04","62.75","24.21","75.79"
"2018-2019","83","Russell County","English:Reading","English Reading","235","1,362","325","1,597","1,922","12.23","70.86","16.91","83.09"
"2018-2019","139","Salem City","English:Reading","English Reading","324","1,344","400","1,668","2,068","15.67","64.99","19.34","80.66"
"2018-2019","84","Scott County","English:Reading","English Reading","274","1,264","261","1,538","1,799","15.23","70.26","14.51","85.49"
"2018-2019","85","Shenandoah County","English:Reading","English Reading","329","1,796","1,041","2,125","3,166","10.39","56.73","32.88","67.12"
"2018-2019","86","Smyth County","English:Reading","English Reading","264","1,480","514","1,744","2,258","11.69","65.54","22.76","77.24"
"2018-2019","87","Southampton County","English:Reading","English Reading","191","991","292","1,182","1,474","12.96","67.23","19.81","80.19"
"2018-2019","88","Spotsylvania County","English:Reading","English Reading","1,691","7,760","3,169","9,451","12,620","13.40","61.49","25.11","74.89"
"2018-2019","89","Stafford County","English:Reading","English Reading","2,228","10,274","3,287","12,502","15,789","14.11","65.07","20.82","79.18"
"2018-2019","126","Staunton City","English:Reading","English Reading","200","836","382","1,036","1,418","14.10","58.96","26.94","73.06"
"2018-2019","127","Suffolk City","English:Reading","English Reading","885","4,876","1,735","5,761","7,496","11.81","65.05","23.15","76.85"
"2018-2019","90","Surry County","English:Reading","English Reading","33","265","86","298","384","8.59","69.01","22.40","77.60"
"2018-2019","91","Sussex County","English:Reading","English Reading","57","374","126","431","557","10.23","67.15","22.62","77.38"
"2018-2019","92","Tazewell County","English:Reading","English Reading","414","2,054","484","2,468","2,952","14.02","69.58","16.40","83.60"
"2018-2019","128","Virginia Beach City","English:Reading","English Reading","7,064","23,685","5,466","30,749","36,215","19.51","65.40","15.09","84.91"
"2018-2019","93","Warren County","English:Reading","English Reading","293","1,792","727","2,085","2,812","10.42","63.73","25.85","74.15"
"2018-2019","94","Washington County","English:Reading","English Reading","738","2,506","529","3,244","3,773","19.56","66.42","14.02","85.98"
"2018-2019","130","Waynesboro City","English:Reading","English Reading","154","893","518","1,047","1,565","9.84","57.06","33.10","66.90"
"2018-2019","207","West Point","English:Reading","English Reading","96","309","35","405","440","21.82","70.23","7.95","92.05"
"2018-2019","95","Westmoreland County","English:Reading","English Reading","95","486","246","581","827","11.49","58.77","29.75","70.25"
"2018-2019","131","Williamsburg-James City County","English:Reading","English Reading","1,069","3,805","1,152","4,874","6,026","17.74","63.14","19.12","80.88"
"2018-2019","132","Winchester City","English:Reading","English Reading","255","1,244","724","1,499","2,223","11.47","55.96","32.57","67.43"
"2018-2019","96","Wise County","English:Reading","English Reading","513","2,089","438","2,602","3,040","16.88","68.72","14.41","85.59"
"2018-2019","97","Wythe County","English:Reading","English Reading","353","1,449","313","1,802","2,115","16.69","68.51","14.80","85.20"
"2018-2019","98","York County","English:Reading","English Reading","1,538","4,542","836","6,080","6,916","22.24","65.67","12.09","87.91"
